date,equity,cash,positions,regime,gross_exposure
2023-10-24,131147.01081722544,45929.010817225455,5,RISK_OFF,0.6497898767876994
2023-10-25,130715.91527722546,100252.91527722546,4,RISK_OFF,0.2330473679153249
2023-10-26,129914.91527722546,100252.91527722546,4,RISK_OFF,0.22831866484848373
2023-10-27,129930.91527722546,100252.91527722546,4,RISK_OFF,0.22841369151196933
2023-10-30,129351.91527722546,100252.91527722546,4,RISK_OFF,0.22495994696047117
2023-10-31,129326.84510722545,105070.84510722545,3,RISK_OFF,0.18755580080755271
2023-11-01,129288.84510722545,105070.84510722545,3,RISK_OFF,0.18731701083658725
2023-11-02,129865.84510722545,105070.84510722545,3,RISK_OFF,0.19092779921870665
2023-11-03,129741.84510722545,105070.84510722545,3,RISK_OFF,0.19015453325494636
2023-11-06,129895.84510722545,105070.84510722545,3,RISK_OFF,0.19111465789769985
2023-11-07,129807.84510722545,105070.84510722545,3,RISK_OFF,0.19056629419867838
2023-11-08,130326.84510722545,105070.84510722545,3,RISK_OFF,0.19378969834818616
2023-11-09,130584.84510722545,105070.84510722545,3,RISK_OFF,0.19538254978248062
2023-11-10,130631.84510722545,105070.84510722545,3,RISK_OFF,0.19567204290055748
2023-11-13,130581.84510722545,105070.84510722545,3,RISK_OFF,0.19536406442298315
2023-11-14,130774.84510722545,105070.84510722545,3,RISK_OFF,0.19655156141782978
2023-11-15,130741.95065772547,13033.950657725465,12,RISK_ON,0.9003078155698658
2023-11-16,131277.95065772545,13033.950657725465,12,RISK_ON,0.9007148527805082
2023-11-17,128964.95065772547,13033.950657725465,12,RISK_OFF,0.8989341631873475
2023-11-20,129751.29592372547,23274.295923725465,11,RISK_OFF,0.8206237883172488
2023-11-21,130255.29592372547,23274.295923725465,11,RISK_OFF,0.8213178530771266
2023-11-22,130990.29592372547,23274.295923725465,11,RISK_OFF,0.8223204569498958
2023-11-23,128725.78632972547,28666.786329725466,10,RISK_OFF,0.7773034669503067
2023-11-24,129242.78632972547,28666.786329725466,10,RISK_OFF,0.7781943028016243
2023-11-27,128368.78632972547,28666.786329725466,10,RISK_OFF,0.7766841367800071
2023-11-28,128946.02163972547,38951.02163972547,9,RISK_OFF,0.6979276976178883
2023-11-29,129270.02163972547,38951.02163972547,9,RISK_OFF,0.6986848060698739
2023-11-30,129377.02163972547,38951.02163972547,9,RISK_OFF,0.6989340058531268
2023-12-01,129777.02163972547,38951.02163972547,9,RISK_OFF,0.6998619543923764
2023-12-04,131057.02163972547,38951.02163972547,9,NEUTRAL,0.7027933249787908
2023-12-05,129976.65758972548,49873.65758972547,8,RISK_OFF,0.6162875818275547
2023-12-06,130524.56055772548,47806.560557725476,9,NEUTRAL,0.6337351349550596
2023-12-07,130549.77929772547,45282.77929772548,10,NEUTRAL,0.6531378333895473
2023-12-08,130684.88333272547,43349.883332725476,11,NEUTRAL,0.6682869339802976
2023-12-11,130310.86716122547,40001.86716122548,12,NEUTRAL,0.6930273887922666
2023-12-12,130466.86716122547,40001.86716122548,12,NEUTRAL,0.6933944377479928
2023-12-13,129712.86716122547,40001.86716122548,12,RISK_OFF,0.6916121890089323
2023-12-14,129356.86716122547,40001.86716122548,12,RISK_OFF,0.6907634821476569
2023-12-15,129104.86716122547,40001.86716122548,12,RISK_OFF,0.6901598828859693
2023-12-18,128499.86716122547,40001.86716122548,12,RISK_OFF,0.6887011010600022
2023-12-19,128888.86716122547,40001.86716122548,12,RISK_OFF,0.6896406334987207
2023-12-20,129342.86716122547,40001.86716122548,12,RISK_OFF,0.6907300105589644
2023-12-21,129901.86716122547,40001.86716122548,12,RISK_OFF,0.6920608761413888
2023-12-22,129988.21122722547,49045.211227225474,11,RISK_OFF,0.622694929300226
2023-12-25,130731.21122722547,49045.211227225474,11,RISK_OFF,0.6248393113869387
2023-12-26,130961.21122722547,49045.211227225474,11,RISK_OFF,0.6254981855495432
2023-12-27,130829.21122722547,49045.211227225474,11,RISK_OFF,0.625120332323618
2023-12-28,131201.9446397255,40857.94463972548,12,NEUTRAL,0.6885873547688677
2023-12-29,131361.9446397255,40857.94463972548,12,NEUTRAL,0.6889666581003892
2024-01-02,131995.9446397255,40857.94463972548,12,NEUTRAL,0.6904606065645074
2024-01-03,133538.9446397255,40857.94463972548,12,NEUTRAL,0.6940372357295763
2024-01-04,134531.9446397255,40857.94463972548,12,NEUTRAL,0.6962955917336775
2024-01-05,134923.9446397255,40857.94463972548,12,NEUTRAL,0.6971779564492829
2024-01-08,136272.9446397255,40857.94463972548,12,NEUTRAL,0.700175667681178
2024-01-09,136113.9446397255,40857.94463972548,12,NEUTRAL,0.6998254312012576
2024-01-10,136308.9446397255,40857.94463972548,12,NEUTRAL,0.7002548530640008
2024-01-11,135995.9446397255,40857.94463972548,12,NEUTRAL,0.6995649778530928
2024-01-12,135864.9446397255,40857.94463972548,12,NEUTRAL,0.6992753005709534
2024-01-15,135681.9446397255,40857.94463972548,12,NEUTRAL,0.6988697003995995
2024-01-16,136997.9446397255,40857.94463972548,12,NEUTRAL,0.7017623530982678
2024-01-17,137123.9446397255,40857.94463972548,12,NEUTRAL,0.7020363967279808
2024-01-18,137692.9446397255,40857.94463972548,12,NEUTRAL,0.7032676964921436
2024-01-19,138200.6490712255,43933.64907122548,12,NEUTRAL,0.6821024404264333
2024-01-22,138321.6490712255,43933.64907122548,12,NEUTRAL,0.6823805285273682
2024-01-23,137967.6490712255,43933.64907122548,12,NEUTRAL,0.6815655744880827
2024-01-24,137056.6490712255,43933.64907122548,12,NEUTRAL,0.6794489769818166
2024-01-25,137072.6490712255,43933.64907122548,12,NEUTRAL,0.6794863937560822
