symbol,entry_time,exit_time,entry_price,exit_price,shares,entry_value,exit_value,pnl,pnl_pct,exit_reason,holding_bars,strategy_ids,family_votes
POW,2022-04-18,2022-04-20,12.156075,11.15442,300,3646.8224999999998,3339.633348,-307.1891519999999,-0.08423474188831509,STOP_LOSS,2,"qa_055,qa_103,qa_013,qa_071,qa_095","mean_reversion,structure"
CMG,2022-04-18,2022-04-20,32.19609,30.5847,100,3219.609,3052.3530600000004,-167.25593999999955,-0.05194914661997763,STOP_LOSS,2,"qa_055,qa_017,qa_013","mean_reversion,structure,trend"
VTP,2022-02-15,2022-04-25,39.92995499999999,43.49824,200,7985.990999999998,8682.248704000001,696.2577040000033,0.08718488463110007,SIGNAL_OFF,48,"qa_055,qa_068,qa_017,qa_013","mean_reversion,structure,trend,volatility"
BMP,2022-04-01,2022-04-25,41.510745,41.389295,200,8302.149,8261.303281999999,-40.84571800000049,-0.004919897004980336,SIGNAL_OFF,15,"qa_055,qa_068,qa_017,qa_013","mean_reversion,structure,trend,volatility"
IMP,2021-12-09,2022-04-26,31.445714999999996,29.655165000000004,300,9433.714499999998,8878.756401,-554.9580989999977,-0.0588271034702182,MAX_HOLDING,90,"qa_055,qa_068,qa_017,qa_013","mean_reversion,structure,trend,volatility"
KDC,2022-02-15,2022-04-26,50.93545499999999,48.175900000000006,100,5093.545499999999,4807.95482,-285.59067999999934,-0.05606913298408729,STOP_LOSS,49,"qa_055,qa_068,qa_017,qa_013","mean_reversion,structure,trend,volatility"
SSB,2022-04-18,2022-04-26,23.321654999999996,21.819085,100,2332.1654999999996,2177.544683,-154.62081699999953,-0.06629924720179574,STOP_LOSS,6,"qa_055,qa_068,qa_017,qa_013","mean_reversion,structure,trend,volatility"
KOS,2022-01-07,2022-05-13,31.665824999999998,35.3823,300,9499.7475,10593.46062,1093.7131200000003,0.11513075689643334,REGIME_CRASH,82,"qa_055,qa_068,qa_017,qa_103,qa_013","mean_reversion,structure,trend,volatility"
SAB,2022-04-01,2022-05-13,64.142055,65.48724,100,6414.2055,6535.626552,121.42105199999969,0.01893002212043248,REGIME_CRASH,27,"qa_055,qa_068,qa_017,qa_013","mean_reversion,structure,trend,volatility"
PC1,2023-06-01,2023-06-19,19.739864999999998,18.340825000000002,300,5921.959499999999,5491.243005,-430.71649499999876,-0.07273209061966716,STOP_LOSS,12,"qa_055,qa_068,qa_017,qa_013","mean_reversion,structure,trend,volatility"
VSC,2023-06-01,2023-07-04,13.06653,15.812090000000001,500,6533.265,7890.232910000001,1356.9679100000003,0.2077013422844474,TAKE_PROFIT,23,"qa_055,qa_068,qa_017,qa_013","mean_reversion,structure,trend,volatility"
HDC,2023-06-01,2023-07-18,21.23061,24.74762,300,6369.183,7409.437428,1040.2544280000002,0.1633261955261766,TAKE_PROFIT,33,"qa_055,qa_068,qa_017,qa_013","mean_reversion,structure,trend,volatility"
KDH,2023-07-04,2023-07-28,22.781384999999997,26.736625,300,6834.415499999999,8004.945525,1170.530025000001,0.17126995351687369,TAKE_PROFIT,18,"qa_055,qa_068,qa_017,qa_103,qa_013","mean_reversion,structure,trend,volatility"
LPB,2023-06-01,2023-08-07,9.014505,10.714640000000001,700,6310.153499999999,7485.247504000001,1175.0940040000014,0.18622272881317412,TAKE_PROFIT,47,"qa_055,qa_068,qa_017,qa_013","mean_reversion,structure,trend,volatility"
EIB,2023-06-01,2023-08-16,15.817905,19.120435,400,6327.162,7632.877652,1305.7156519999999,0.2063667173370936,TAKE_PROFIT,54,"qa_055,qa_068,qa_017,qa_013","mean_reversion,structure,trend,volatility"
HT1,2023-06-01,2023-08-18,14.477235,15.132430000000001,400,5790.894,6040.866056000001,249.97205600000052,0.043166401595332346,SIGNAL_OFF,56,"qa_055,qa_068,qa_017,qa_013","mean_reversion,structure,trend,volatility"
HDG,2023-06-01,2023-08-18,23.161574999999996,24.357815000000002,300,6948.472499999999,7292.729811000001,344.2573110000021,0.049544315099470014,SIGNAL_OFF,56,"qa_055,qa_068,qa_017,qa_013","mean_reversion,structure,trend,volatility"
ANV,2023-06-01,2023-08-18,15.557775,15.892050000000001,400,6223.11,6344.106360000001,120.996360000001,0.0194430694620537,SIGNAL_OFF,56,"qa_055,qa_068,qa_017,qa_013","mean_reversion,structure,trend,volatility"
PC1,2023-08-07,2023-08-18,18.419204999999998,17.97101,400,7367.681999999999,7174.027192,-193.65480799999932,-0.026284360264191554,STOP_LOSS,9,"qa_055,qa_068,qa_017,qa_103,qa_013","mean_reversion,structure,trend,volatility"
HCM,2023-06-01,2023-08-31,13.396695,16.661665000000003,500,6698.3475,8314.170835000003,1615.8233350000028,0.24122715863875424,TAKE_PROFIT,65,"qa_055,qa_068,qa_017,qa_013","mean_reversion,structure,trend,volatility"
KBC,2023-06-01,2023-09-08,28.164074999999997,34.182900000000004,200,5632.815,6822.906840000001,1190.091840000001,0.21127834661710015,TAKE_PROFIT,69,"qa_055,qa_068,qa_017,qa_013","mean_reversion,structure,trend,volatility"
TPB,2023-06-01,2023-10-03,13.096544999999999,12.51374,500,6548.272499999999,6244.35626,-303.91623999999956,-0.04641166658840169,STOP_LOSS,86,"qa_055,qa_068,qa_017,qa_013","mean_reversion,structure,trend,volatility"
BID,2023-08-31,2023-10-03,33.63681,31.644170000000003,200,6727.361999999999,6316.176332000001,-411.18566799999826,-0.06112138279462266,STOP_LOSS,21,"qa_055,qa_068,qa_017,qa_013","mean_reversion,structure,trend,volatility"
TCB,2023-08-31,2023-10-05,16.118055,15.282355,400,6447.222,6100.716116,-346.50588400000015,-0.05374499032296393,SIGNAL_OFF,23,"qa_055,qa_068,qa_017,qa_013","mean_reversion,structure,trend,volatility"
BWE,2023-06-01,2023-10-09,37.27862999999999,38.350815,100,3727.8629999999994,3827.411337,99.54833700000063,0.026703861434822215,MAX_HOLDING,90,"qa_055,qa_068,qa_017,qa_103,qa_013","mean_reversion,structure,trend,volatility"
OCB,2023-08-31,2023-10-17,9.494745,9.365314999999999,700,6646.3215,6542.609058999999,-103.71244100000058,-0.01560448753494705,SIGNAL_OFF,31,"qa_055,qa_068,qa_017,qa_013","mean_reversion,structure,trend,volatility"
