symbol,selected_hypothesis,train_trades,train_win_rate,train_avg_trade_pct,train_total_pnl_pct,train_profit_factor,router_score,fold,train_start,train_end,test_start,test_end
HDB,rotation_weekly_smt_money_cycle_v1,6,0.6666666666666666,1.925508399077841,11.553050394467046,8.611074668644685,2.6514522546021153,2,2022-08-08,2023-08-07,2023-08-08,2023-11-07
HPG,rotation_weekly_smt_money_cycle_v1,9,0.6666666666666666,1.5953382777535543,14.358044499781988,4.967883545115385,2.6138879414113387,2,2022-08-08,2023-08-07,2023-08-08,2023-11-07
MBB,rotation_weekly_smt_money_cycle_v1,12,0.5,0.40607785593610113,4.8729342712332135,1.6300443654959111,0.9619454143886872,2,2022-08-08,2023-08-07,2023-08-08,2023-11-07
PLX,composite_edge_score_v2,4,0.25,3.3934222433576204,13.573688973430482,2.138482949232943,1.299856884189858,2,2022-08-08,2023-08-07,2023-08-08,2023-11-07
SHB,rotation_weekly_smt_money_cycle_v1,7,0.7142857142857143,3.300438229585692,23.103067607099845,11.39348086490269,2.766744961785284,2,2022-08-08,2023-08-07,2023-08-08,2023-11-07
SSI,money_cycle_reset_smt_confirm,4,0.5,5.312584639310085,21.25033855724034,2.6215011316956955,1.751556434014769,2,2022-08-08,2023-08-07,2023-08-08,2023-11-07
STB,composite_edge_score_v1,4,0.25,4.493605692412963,17.974422769651852,2.747725353267482,1.6510288074392743,2,2022-08-08,2023-08-07,2023-08-08,2023-11-07
TPB,rotation_weekly_smt_money_cycle_v1,6,0.5,0.27222139661717976,1.6333283797030786,1.3533535705675055,0.82806460451858,2,2022-08-08,2023-08-07,2023-08-08,2023-11-07
VHM,rotation_weekly_smt_money_cycle_v1,6,0.6666666666666666,0.29115739402960267,1.7469443641776161,1.3130292023814136,0.8779108253203751,2,2022-08-08,2023-08-07,2023-08-08,2023-11-07
VNM,rotation_weekly_smt_money_cycle_v1,7,0.7142857142857143,0.8417186874786754,5.892030812350728,3.90446816861539,2.1016452697147185,2,2022-08-08,2023-08-07,2023-08-08,2023-11-07
FPT,rotation_weekly_smt_money_cycle_v1,8,0.75,0.8476045569476334,6.780836455581067,1.9801915121572653,1.2504184994571037,3,2022-11-08,2023-11-07,2023-11-08,2024-02-07
GVR,composite_edge_score_v2,4,0.5,1.912746390195538,7.650985560782152,1.6771265385079344,1.0885991896422582,3,2022-11-08,2023-11-07,2023-11-08,2024-02-07
HDB,mean_reversion_uptrend_ma20_v1,4,0.5,2.5699441683096005,10.279776673238402,5.055693356202592,2.629896091781672,3,2022-11-08,2023-11-07,2023-11-08,2024-02-07
HPG,rotation_monthly_smt_money_cycle_v1,4,1.0,4.029196068385843,16.116784273543374,inf,2.932043724787009,3,2022-11-08,2023-11-07,2023-11-08,2024-02-07
MBB,rotation_monthly_smt_money_cycle_v1,4,0.75,2.0711356579488083,8.284542631795233,2.8040745398819196,1.7068130390032805,3,2022-11-08,2023-11-07,2023-11-08,2024-02-07
MWG,rotation_weekly_smt_money_cycle_v1,4,0.75,2.645620664615394,10.582482658461576,3.0656518643947344,1.8647367855007082,3,2022-11-08,2023-11-07,2023-11-08,2024-02-07
PLX,mean_reversion_uptrend_ma20_v1,4,0.5,3.4989722785888464,13.995889114355386,2.563843298062168,1.598657543629195,3,2022-11-08,2023-11-07,2023-11-08,2024-02-07
POW,rotation_weekly_smt_money_cycle_v1,7,0.5714285714285714,0.733947133774756,5.137629936423291,1.9807172289007866,1.1712704809410155,3,2022-11-08,2023-11-07,2023-11-08,2024-02-07
SHB,rotation_weekly_smt_money_cycle_v1,6,0.6666666666666666,0.9159423511444086,5.495654106866452,1.5737584006229275,1.0389739115270926,3,2022-11-08,2023-11-07,2023-11-08,2024-02-07
SSB,rotation_weekly_smt_money_cycle_v1,5,0.6,1.865973575731892,9.32986787865946,5.058561599528222,2.6206181503012322,3,2022-11-08,2023-11-07,2023-11-08,2024-02-07
SSI,composite_edge_score_v2,4,0.75,10.604481973093613,42.41792789237445,10.193081938927714,3.292313738116553,3,2022-11-08,2023-11-07,2023-11-08,2024-02-07
STB,composite_edge_score_v2,4,0.25,4.355528879344896,17.422115517379584,2.6076847211806586,1.5783451460854394,3,2022-11-08,2023-11-07,2023-11-08,2024-02-07
TCB,mean_reversion_uptrend_ma50_v1,4,0.75,3.7625775801667505,15.050310320667002,4.422842751470219,2.553659668773271,3,2022-11-08,2023-11-07,2023-11-08,2024-02-07
TPB,rotation_monthly_smt_money_cycle_v1,5,0.6,3.212570032516016,16.06285016258008,2.7961799593628878,1.7231608839894208,3,2022-11-08,2023-11-07,2023-11-08,2024-02-07
VCB,rotation_monthly_smt_money_cycle_v1,4,0.75,4.745995308609662,18.983981234438648,9.593673584967775,2.8822196716026767,3,2022-11-08,2023-11-07,2023-11-08,2024-02-07
VPB,composite_edge_score_v1,4,0.25,0.5438352703825049,2.1753410815300196,1.1851395337836388,0.6713812591294127,3,2022-11-08,2023-11-07,2023-11-08,2024-02-07
BID,rotation_weekly_smt_money_cycle_v1,4,0.5,0.9266707283325912,3.706682913330365,1.9202499872830627,1.1289794452606596,4,2023-02-08,2024-02-07,2024-02-08,2024-05-07
FPT,rotation_weekly_smt_money_cycle_v1,9,0.6666666666666666,0.4005861985321411,3.60527578678927,1.425701289186768,0.9362732806979621,4,2023-02-08,2024-02-07,2024-02-08,2024-05-07
HDB,composite_edge_score_v2,4,0.5,6.499374909666126,25.997499638664504,6.5927548954003745,2.904956243676629,4,2023-02-08,2024-02-07,2024-02-08,2024-05-07
HPG,composite_edge_score_v1,4,0.75,4.506402885446384,18.025611541785537,3.323523540888919,2.1110337953812603,4,2023-02-08,2024-02-07,2024-02-08,2024-05-07
MBB,rotation_monthly_smt_money_cycle_v1,4,0.75,6.597231554814499,26.388926219257996,6.746556212321605,3.011806208837015,4,2023-02-08,2024-02-07,2024-02-08,2024-05-07
MWG,rotation_weekly_smt_money_cycle_v1,5,0.8,2.7178930074662424,13.589465037331212,3.652600972423526,2.153922948113224,4,2023-02-08,2024-02-07,2024-02-08,2024-05-07
SHB,rotation_weekly_smt_money_cycle_v1,8,0.625,0.49335995019102735,3.946879601528219,1.3381707667226737,0.8867120415385751,4,2023-02-08,2024-02-07,2024-02-08,2024-05-07
SSI,composite_edge_score_v1,4,1.0,14.068677109906169,56.274708439624675,inf,3.634807397693432,4,2023-02-08,2024-02-07,2024-02-08,2024-05-07
TCB,rotation_weekly_smt_money_cycle_v1,6,0.5,1.258841722285437,7.553050333712621,2.027770117685146,1.2006154735182961,4,2023-02-08,2024-02-07,2024-02-08,2024-05-07
TPB,rotation_monthly_smt_money_cycle_v1,5,0.4,0.589651619462426,2.94825809731213,1.2634012850340834,0.7698061916277075,4,2023-02-08,2024-02-07,2024-02-08,2024-05-07
VCB,rotation_weekly_smt_money_cycle_v1,7,0.5714285714285714,0.2662774952764367,1.8639424669350566,1.5452782646972993,0.9425860723545638,4,2023-02-08,2024-02-07,2024-02-08,2024-05-07
VHM,rotation_weekly_smt_money_cycle_v1,7,0.5714285714285714,0.43759301061451794,3.0631510743016257,1.3386674064634174,0.8616032722229827,4,2023-02-08,2024-02-07,2024-02-08,2024-05-07
ACB,rotation_weekly_smt_money_cycle_v1,7,0.7142857142857143,1.0146022221891398,7.102215555323978,3.182932540037813,1.7890560842845413,5,2023-05-08,2024-05-07,2024-05-08,2024-08-07
BID,rotation_weekly_smt_money_cycle_v1,7,0.7142857142857143,2.3176183034118294,16.223328123882805,7.314543919417726,2.6979475669531134,5,2023-05-08,2024-05-07,2024-05-08,2024-08-07
FPT,composite_edge_score_v1,4,0.5,3.1275542980638873,12.51021719225555,2.2454295634803336,1.4293721044306222,5,2023-05-08,2024-05-07,2024-05-08,2024-08-07
GVR,rotation_monthly_smt_money_cycle_v1,4,0.5,7.0928102183644155,28.371240873457662,4.160755280276573,2.568836591409967,5,2023-05-08,2024-05-07,2024-05-08,2024-08-07
HDB,composite_edge_score_v1,4,0.5,5.431213123171214,21.724852492684857,5.736400266574437,2.830184918621985,5,2023-05-08,2024-05-07,2024-05-08,2024-08-07
HPG,mean_reversion_uptrend_ma50_v1,4,0.5,1.5598276582276434,6.239310632910573,2.447733869313125,1.4106681772668412,5,2023-05-08,2024-05-07,2024-05-08,2024-08-07
MBB,composite_edge_score_v1,4,0.5,5.356761535585172,21.42704614234069,3.2869250670230588,2.0540895876513385,5,2023-05-08,2024-05-07,2024-05-08,2024-08-07
MWG,rotation_weekly_smt_money_cycle_v1,7,0.8571428571428571,3.1808329709218364,22.265830796452853,5.34618759901439,2.8155154508216715,5,2023-05-08,2024-05-07,2024-05-08,2024-08-07
