strategy_id,family,logic,conditions,risk,symbols_tested,avg_score,score_std,avg_total_return,avg_sharpe_ratio,avg_max_drawdown,avg_win_rate,total_trades,risk_rejections,qa_score
qa_091,volume,OR,breakout_20_high >= True | close > ema20 | obv > obv_ema20 | volume_spike >= True,"{'stop_loss': 0.05, 'take_profit': 0.15, 'max_holding_bars': 60}",4,-0.27940823543660737,0.8475247247837194,-0.016397952014091926,-0.4614583205827063,-0.21879844770513315,0.3769764957264958,93,4,-0.6026213458077058
qa_092,volatility,OR,atr_pct < 0.05 | close > bb_mid | kc_width < 0.12,"{'stop_loss': 0.03, 'take_profit': 0.08, 'max_holding_bars': 30}",2,-0.40997389213755453,0.13585096669769015,-0.13478908540942192,-0.6181987715981792,-0.30218890357819184,0.2506265664160401,40,5,-0.6132878467341131
qa_021,structure,AND,dmp_14 > dmn_14 | breakdown_20_low <= False | aroon_up_14 > aroon_down_14,"{'stop_loss': 0.03, 'take_profit': 0.08, 'max_holding_bars': 30}",5,-0.3257065317214546,0.9564325268819718,-0.016778434704270415,-0.577258598854071,-0.16021850941568935,0.32360190978612036,108,4,-0.616534394425636
qa_107,volume,AND,volume_ratio_20 > 1.2 | close > vwma20 | obv > obv_ema20,"{'stop_loss': 0.03, 'take_profit': 0.08, 'max_holding_bars': 30}",7,-0.513615086808264,0.6083299804263047,-0.037942612835478576,-0.9700844030170102,-0.08595050724557671,0.3235784824723444,219,4,-0.6166132574934224
qa_029,structure,AND,rsi_14 > 55 | breakdown_20_low <= False | close > supertrend_10_3 | close > high_20_prev,"{'stop_loss': 0.05, 'take_profit': 0.12, 'max_holding_bars': 45}",1,-0.4941259967779628,0.0,-0.03347232706838377,-0.9419677762535457,-0.06550205265337417,0.375,8,4,-0.6170517152066437
qa_086,hybrid,AND,breakout_20_high >= True | supertrend_dir > 0 | volume_ratio_20 > 1.2,"{'stop_loss': 0.08, 'take_profit': 0.18, 'max_holding_bars': 75}",6,-0.5291281878631289,0.6271946731466116,-0.01027816133973366,-1.0378608142768342,-0.03557166161395871,0.18119047619047618,41,4,-0.6410964050293285
qa_045,structure,AND,close > supertrend_10_3 | breakdown_20_low <= False | close > high_20_prev,"{'stop_loss': 0.08, 'take_profit': 0.18, 'max_holding_bars': 75}",5,-0.6258747330273681,0.3172711545784609,-0.02849983014520252,-1.2144168691412003,-0.05058174706603485,0.3158163265306122,44,4,-0.6546232486029415
qa_072,qa_broad,AND,mom_10 > 0 | roc_9 > 0,"{'stop_loss': 0.03, 'take_profit': 0.08, 'max_holding_bars': 30}",5,-0.40060040541798436,0.8784329874134476,-0.07759714481278615,-0.6837786906526347,-0.17715958323915526,0.3264241796850492,123,9,-0.6700578051463953
qa_026,momentum,AND,mom_10 > 0 | rsi_21 > 55,"{'stop_loss': 0.08, 'take_profit': 0.18, 'max_holding_bars': 75}",5,-0.6370386520655218,0.5440949803040382,-0.08608681736685485,-1.1633262234864914,-0.1477474755610985,0.17875982042648708,61,4,-0.7791835116183197
qa_115,volume,AND,close > ema20 | breakout_20_high >= True | volume > volume_ma20,"{'stop_loss': 0.05, 'take_profit': 0.12, 'max_holding_bars': 45}",3,-0.6203810343581992,0.5336212571872749,-0.012408044566140131,-1.220711234177599,-0.031515019497788635,0.175,17,4,-0.8181787311979714
qa_101,structure,AND,close > high_20_prev | aroon_up_14 > aroon_down_14 | dmp_14 > dmn_14 | breakout_20_high >= True,"{'stop_loss': 0.08, 'take_profit': 0.25, 'max_holding_bars': 90}",5,-0.8262326858056864,0.22886839987696872,-0.04726823155181263,-1.599107930669791,-0.06249125502623558,0.24166666666666664,33,4,-0.828208565021808
qa_066,momentum,AND,rsi_21 > 55 | willr_14 > -50,"{'stop_loss': 0.03, 'take_profit': 0.08, 'max_holding_bars': 30}",3,-0.6481297098111469,0.4794867144778435,-0.0615979895552662,-1.2156473025255192,-0.10913330840903739,0.14556078841793127,59,4,-0.8541467178215552
qa_112,qa_broad,AND,close > vwma20 | roc_9 > 0,"{'stop_loss': 0.05, 'take_profit': 0.15, 'max_holding_bars': 60}",6,-0.49171468988100453,1.2718252052201755,-0.04128444809688557,-0.8967483131322621,-0.154775994429039,0.21505681818181818,86,4,-0.8710251097582296
qa_028,volatility,OR,close > bb_mid | volume_ratio_20 > 1.2,"{'stop_loss': 0.08, 'take_profit': 0.25, 'max_holding_bars': 90}",4,-0.771448498200192,1.2598939440151287,-0.04334455417618126,-1.443910275606177,-0.18244997072124453,0.3235463601351583,176,5,-1.2262688683579226
qa_008,qa_broad,AND,cmo_9 > 0 | roc_9 > 0,"{'stop_loss': 0.05, 'take_profit': 0.15, 'max_holding_bars': 60}",3,-0.7609385136731789,1.1070406220930245,-0.06407937613188316,-1.3598577724360514,-0.30892907307794093,0.3052631578947368,70,4,-1.2565279069830169
qa_019,volume,OR,volume_ratio_20 > 1.2 | breakout_20_high >= True,"{'stop_loss': 0.03, 'take_profit': 0.08, 'max_holding_bars': 30}",2,-1.2602920273672593,0.9804820102795968,-0.17338672220925241,-2.337454406079114,-0.19774403832463266,0.308016058016058,88,4,-1.7226711443787395
