,equity,return,drawdown
2021-05-18,107533.49679419557,-0.0009980632469425155,-0.002314361148646693
2021-05-19,108259.2255790315,0.00674886250769724,0.0
2021-05-20,108928.7898003168,0.006184823673955675,0.0
2021-05-21,109030.55377509807,0.0009342247808667992,0.0
2021-05-24,109447.68116485774,0.0038257843816889014,0.0
2021-05-25,110098.98309740031,0.005950806135047504,0.0
2021-05-26,110802.31873658508,0.006388211947085276,0.0
2021-05-27,110111.1548667054,-0.006237810523828546,-0.006237810523828546
2021-05-28,111141.59001635488,0.009358135884569352,0.0
2021-05-31,112209.22406465824,0.00960607139187264,0.0
2021-06-01,112451.24418793584,0.00215686477912147,0.0
2021-06-02,112622.13317792483,0.0015196718473242665,0.0
2021-06-03,113872.70545155097,0.011104143016456902,0.0
2021-06-04,114365.91638267317,0.004331248029687318,0.0
2021-06-07,113108.33707539566,-0.010996102222183057,-0.010996102222183057
2021-06-08,110747.01147336554,-0.02087667154416839,-0.031643211751992806
2021-06-09,111592.78162656403,0.007636956897946634,-0.024247912698308727
2021-06-10,110901.93828881317,-0.0061907529114446636,-0.03028855277361997
2021-06-11,112368.59833031759,0.013224836861596811,-0.01746427708122822
2021-06-14,112599.28774375087,0.0020529704638225788,-0.01544716026242543
2021-06-15,112403.11494217381,-0.0017422206259732897,-0.017162468527176733
2021-06-16,111639.18385392328,-0.006796351583704174,-0.02384217794072596
2021-06-17,111745.68495545804,0.0009539759953289817,-0.022910946810828836
2021-06-18,112257.68397182241,0.004581823598543977,-0.018434097129047866
2021-06-21,111985.39443838425,-0.002425575905400934,-0.020814959732614713
2021-06-22,112375.4352704716,0.0034829616312326284,-0.017404495807486375
2021-06-23,112311.90090954729,-0.0005653758828287891,-0.017960031608132754
2021-06-24,112355.36540667168,0.0003869981433171077,-0.017579983963702084
2021-06-25,112726.65626291823,0.0033046117103767703,-0.01433346727419993
2021-06-28,113586.45151265178,0.007627257635746787,-0.006815534686167024
2021-06-29,113685.4323054592,0.0008714137248699849,-0.005950060111764799
2021-06-30,113547.40648288606,-0.0012141029837691164,-0.0071569391097986435
2021-07-01,114043.51913489726,0.004369211656859662,-0.002818997634724929
2021-07-02,114615.11834921583,0.005012114836989934,0.0
2021-07-05,114746.76008964835,0.0011485547659726425,0.0
2021-07-06,112196.22332222847,-0.022227527517354018,-0.022227527517354018
2021-07-07,113545.78008821588,0.012028540052649195,-0.010466352169718585
2021-07-08,113133.84567490344,-0.0036279147758058183,-0.0140562959118391
2021-07-09,111899.8571335466,-0.010907333114997031,-0.02481031232496278
2021-07-12,108974.41008355537,-0.02614343865068447,-0.05030512409747523
2021-07-13,109099.39788565514,0.001146946351936462,-0.04921587502410596
2021-07-14,107798.32579623585,-0.011925566177578006,-0.06055451402709666
2021-07-15,108908.07182817701,0.0102946499747949,-0.050883251578604405
2021-07-16,109135.6236309804,0.002089393366199621,-0.048900173340703734
2021-07-19,106352.93574815844,-0.0254975212514571,-0.07315086138320637
2021-07-20,107956.17398146393,0.015074696547182409,-0.05917889187354075
2021-07-21,107569.76631213143,-0.003579301257923939,-0.06254637404933916
2021-07-22,108555.55934897807,0.009164220306904891,-0.05395534249362044
2021-07-23,107663.85048997677,-0.008214308547153104,-0.06172644520976367
2021-07-26,107503.2689476979,-0.0014915084454816263,-0.06312588814090536
2021-07-27,108019.51901865711,0.004802180212867491,-0.0586268498189878
2021-07-28,108005.27616521562,-0.00013185444233498878,-0.05875097405073404
2021-07-29,108746.38162210891,0.006861752344020866,-0.05229235634061924
2021-07-30,109472.83701350345,0.006680271844988539,-0.04596141165140122
2021-08-02,109531.87308828806,0.0005392760103342109,-0.04544692152777163
2021-08-03,110015.97920901993,0.00441977396243054,-0.041228012685782134
2021-08-04,110108.67254961982,0.0008425443400705834,-0.040420204774452184
2021-08-05,110589.14885973214,0.004363655459526106,-0.03623292916216525
2021-08-06,110402.95872675741,-0.0016836202728252037,-0.03785554694090931
2021-08-09,111074.29923263345,0.006080819876735255,-0.032004919826457034
2021-08-10,110997.62085960913,-0.0006903340696637894,-0.032673159809567864
2021-08-11,110718.04063159261,-0.0025187947800262567,-0.03510965760521878
2021-08-12,110379.84490728653,-0.003054567461425739,-0.038056980248941885
2021-08-13,110489.12535716007,0.0009900398932913834,-0.037104618284315105
2021-08-16,111221.12763431124,0.006625106993877861,-0.03072533335653771
2021-08-17,111031.36967487466,-0.0017061323102252057,-0.032379044182780925
2021-08-18,110912.7411163304,-0.0010684238057372397,-0.033412873446906355
2021-08-19,111220.87736946547,0.00277818625735593,-0.03072751437537946
2021-08-20,109367.82882305449,-0.016660977599154525,-0.04687654154584808
2021-08-23,107777.67555372126,-0.014539497459585937,-0.06073447764871398
2021-08-24,107881.23349959293,0.0009608478317946201,-0.05983198640808318
2021-08-25,108472.82960338103,0.005483772150142618,-0.05467631923869287
2021-08-26,108078.05335330109,-0.0036394021574195357,-0.058116732281915384
2021-08-27,108293.71506076922,0.001995425535313178,-0.05623727435822634
2021-08-30,108781.62005602206,0.004505386069533657,-0.05198525892117478
2021-08-31,108825.75940710102,0.0004057611116310422,-0.051600591405991936
2021-09-01,108880.99804548286,0.0005075878972293779,-0.051119195344450086
2021-09-06,109039.23246077969,0.001453278516337031,-0.04974020725647965
