symbol,strategy_id,family,folds,total_return,sharpe_ratio,max_drawdown,win_rate,number_of_trades,test_score,score_std,instability_penalty,final_score,conditions,logic,risk
VIC,qa_043,volume,2,0.8972498719709736,2.6247903179256933,-0.25834349367874,0.4676113360323887,32,1.5299014218183906,0.46144754446828895,0.21560936104320094,1.1989301746581176,volume_spike >= True | obv > obv_ema20,OR,"{'stop_loss': 0.08, 'take_profit': 0.25, 'max_holding_bars': 90}"
VIC,qa_082,momentum,1,0.21926156312524614,2.363111674123017,-0.04714042337291657,0.5,10,1.237906221324499,0.0,0.11801475171817268,1.1198914696063262,stoch_k > stoch_d | macd_hist > 0 | stoch_k crosses_above stoch_d,AND,"{'stop_loss': 0.03, 'take_profit': 0.08, 'max_holding_bars': 30}"
VIC,qa_078,hybrid,1,0.8370913114614504,2.218420483500161,-0.334369904312138,0.4117647058823529,17,1.2934636543260878,0.0,0.22354379945181002,1.0699198548742777,obv > obv_ema20 | adx_14 > 20 | close > ema50 | rsi_14 > 50,OR,"{'stop_loss': 0.08, 'take_profit': 0.25, 'max_holding_bars': 90}"
VIC,qa_005,structure,1,0.874542710160036,2.193401223114463,-0.3883441282001321,0.4583333333333333,24,1.281394598965216,0.0,0.2278921366714424,1.0535024622937736,close > high_20_prev | breakdown_20_low <= False | volume_ratio_20 > 1.5,OR,"{'stop_loss': 0.08, 'take_profit': 0.18, 'max_holding_bars': 75}"
VIC,qa_013,structure,1,0.7943516103653985,2.0835698164034073,-0.3877779172966761,0.3888888888888889,18,1.202534807851988,0.0,0.21392645090292284,0.9886083569490651,close > supertrend_10_3 | aroon_up_14 > aroon_down_14 | volume_ratio_20 > 1.5 | breakdown_20_low <= False,OR,"{'stop_loss': 0.08, 'take_profit': 0.25, 'max_holding_bars': 90}"
VIC,qa_055,mean_reversion,1,0.6966733073663061,1.9006715484871393,-0.43019219100811,0.3888888888888889,18,1.0732993282518395,0.0,0.2315183034738246,0.8417810247780149,willr_14 < -80 | close > kc_lower | bb_percent < 0.2,OR,"{'stop_loss': 0.08, 'take_profit': 0.25, 'max_holding_bars': 90}"
VIC,qa_053,structure,1,0.6312424903374971,1.8302051483885071,-0.4186180314444615,0.3888888888888889,18,1.0207517150066105,0.0,0.21016426794064463,0.810587447065966,close > supertrend_10_3 | breakdown_20_low <= False,OR,"{'stop_loss': 0.08, 'take_profit': 0.25, 'max_holding_bars': 90}"
VIC,qa_018,momentum,2,0.11837108142621455,1.98574671736169,-0.014735606079997687,0.55,7,1.0254375618927098,0.5211158664250689,0.1432961865539501,0.7518624087324925,macd crosses_above macd_signal | stoch_k > 50 | rsi_7 > 55,AND,"{'stop_loss': 0.03, 'take_profit': 0.08, 'max_holding_bars': 30}"
VIC,qa_068,volatility,2,0.10352644775410391,1.657646487981844,-0.047540238836967785,1.0,3,0.8503731305497595,0.4308127199696389,0.13576833884540299,0.6069016117119468,kc_width < 0.12 | bb_width < 0.12,AND,"{'stop_loss': 0.08, 'take_profit': 0.25, 'max_holding_bars': 90}"
VIC,qa_114,momentum,2,0.09152618501848225,1.2384389589580251,-0.02045902720349635,0.375,10,0.642585529543858,0.9809797197504,0.10355840431598272,0.2937821952902752,roc_9 > 0 | macd crosses_above macd_signal,AND,"{'stop_loss': 0.03, 'take_profit': 0.08, 'max_holding_bars': 30}"
VIC,qa_116,volatility,1,0.06022266839288282,0.5330559647727168,-0.17441335579475314,0.5,10,0.2497121117452726,0.0,0.11889401054276358,0.13081810120250903,volume_ratio_20 > 1.2 | close > kc_upper,AND,"{'stop_loss': 0.05, 'take_profit': 0.15, 'max_holding_bars': 60}"
VIC,qa_038,hybrid,1,-0.022191061867512296,0.007737462272390565,-0.16463977037130584,0.38461538461538464,13,-0.03571654149831958,0.0,0.09606500971202887,-0.13178155121034846,rsi_14 > 50 | volume_ratio_20 > 1.2 | supertrend_dir > 0,AND,"{'stop_loss': 0.08, 'take_profit': 0.18, 'max_holding_bars': 75}"
VIC,qa_034,momentum,9,0.10239788939802477,0.1897996537000388,-0.09936405561760248,0.47957536290869623,80,0.10574638254590635,1.0657714015004365,0.08911168144250223,-0.249808149271705,willr_14 > -50 | stoch_k > stoch_d | stoch_k > 50,AND,"{'stop_loss': 0.05, 'take_profit': 0.12, 'max_holding_bars': 45}"
VIC,qa_054,hybrid,1,-0.04684233541921157,-0.23590922819223317,-0.24644324200971746,0.2,5,-0.18129596312382354,0.0,0.13001247065657853,-0.31130843378040207,rsi_14 > 50 | ema20 > ema50 | adx_14 > 20,AND,"{'stop_loss': 0.08, 'take_profit': 0.25, 'max_holding_bars': 90}"
VIC,qa_014,hybrid,4,-0.019067672072363928,-0.276889367753539,-0.09828583124225032,0.175,13,-0.16382215174692874,0.5350834467592078,0.11195280126187185,-0.4095458146986026,obv > obv_ema20 | ema20 > ema50,AND,"{'stop_loss': 0.08, 'take_profit': 0.18, 'max_holding_bars': 75}"
VIC,qa_087,mean_reversion,3,-0.015411784403133252,-0.6493029148643442,-0.026902160733978848,0.27777777777777773,5,-0.33465542489990785,0.2912205904004867,0.05140840187141384,-0.45886897437144336,stoch_k < 25 | rsi_14 < 35 | close <= bb_lower,AND,"{'stop_loss': 0.08, 'take_profit': 0.18, 'max_holding_bars': 75}"
VIC,qa_081,trend,7,0.0010577806683525085,-0.4035206119050055,-0.03171548761410344,0.49489795918367346,40,-0.2077860692748177,1.0380220273958476,0.04462169545151333,-0.5119132715752929,close > sma20 | close crosses_above ema20,AND,"{'stop_loss': 0.08, 'take_profit': 0.18, 'max_holding_bars': 75}"
VIC,qa_020,volatility,8,-0.005751977984661205,-0.7676478291884051,-0.03738294115485821,0.24375,19,-0.3930260962205726,0.7854691975391503,0.05526684710938489,-0.6446602427147451,close > bb_upper | close > kc_mid | stdev_14 < atr_14,AND,"{'stop_loss': 0.08, 'take_profit': 0.18, 'max_holding_bars': 75}"
VIC,qa_046,hybrid,3,0.17093095367729125,-0.5056417391495591,-0.1618787841982964,0.16666666666666666,23,-0.23391734031125155,1.5296404031562054,0.10605437491632544,-0.7223818160166283,supertrend_dir > 0 | rsi_14 > 50 | ema20 > ema50,AND,"{'stop_loss': 0.05, 'take_profit': 0.15, 'max_holding_bars': 60}"
VIC,qa_050,momentum,4,-0.04250699144453815,-0.9255410040841505,-0.11692446646484816,0.3298611111111111,30,-0.49890749276840635,0.9000181584558211,0.06999228896746959,-0.7939043213498311,stoch_k > 50 | stoch_k > stoch_d | roc_9 > 0 | rsi_7 > 55,AND,"{'stop_loss': 0.05, 'take_profit': 0.15, 'max_holding_bars': 60}"
VIC,qa_098,momentum,3,-0.13818968750096983,-1.1852820254704841,-0.2207684994045299,0.2555555555555556,37,-0.678251618866439,0.3312165693606877,0.09296134024668166,-0.8540171014532927,cmo_9 > 20 | rsi_7 > 55,OR,"{'stop_loss': 0.03, 'take_profit': 0.08, 'max_holding_bars': 30}"
VIC,qa_097,trend,4,-0.028365243439485627,-1.5463544278450037,-0.029548092760705136,0.0,5,-0.7875964055064886,0.017394928237540505,0.06514445634145606,-0.8570895939073297,ema20 crosses_above ema50 | aroon_osc_14 > 0,AND,"{'stop_loss': 0.05, 'take_profit': 0.15, 'max_holding_bars': 60}"
VIC,qa_035,volume,4,-0.003965955669370358,-1.0303806936861757,-0.1268336721322067,0.3176184926184926,43,-0.5417468679703402,1.0123436104718353,0.08758129909755556,-0.8824140696858546,volume_spike >= True | volume > volume_ma20,AND,"{'stop_loss': 0.05, 'take_profit': 0.15, 'max_holding_bars': 60}"
