strategy,symbol,entry_date,exit_date,entry_price,exit_price,shares,entry_value,exit_value,pnl,pnl_pct,exit_reason,holding_bars
MC_RISK_ON_SMT_TOP,GVR,2022-12-15,2022-12-21,14.787389999999998,13.713140000000001,1600,23659.823999999997,21897.141952,-1762.6820479999951,-0.0745010634060505,STOP_LOSS,4
MC_RISK_ON_SMT_TOP,TCB,2022-12-09,2022-12-26,13.44672,12.873560000000001,5300,71267.616,68093.408264,-3174.2077359999967,-0.0445392720306513,STOP_LOSS,11
MC_RISK_ON_SMT_TOP,VPB,2023-01-05,2023-02-13,16.748369999999998,15.502245,1300,21772.880999999998,20112.612663,-1660.2683369999977,-0.0762539572507652,STOP_LOSS,22
MC_RISK_ON_SMT_TOP,SSI,2023-02-21,2023-02-23,13.876934999999998,12.873560000000001,400,5550.773999999999,5139.1251520000005,-411.6488479999989,-0.0741606212034572,STOP_LOSS,2
MC_RISK_ON_SMT_TOP,HDB,2023-02-21,2023-02-27,9.58479,8.905545,700,6709.353,6221.413737000001,-487.9392629999993,-0.07272523341669447,STOP_LOSS,4
MC_RISK_ON_SMT_TOP,BCM,2023-01-05,2023-04-06,80.18007,77.52122,200,16036.014,15473.235512000001,-562.7784879999981,-0.0350946618031138,MAX_HOLDING,60
MC_RISK_ON_SMT_TOP,CTG,2023-01-05,2023-04-06,17.50875,18.400795000000002,1200,21010.5,22036.792092000003,1026.2920920000033,0.04884662868565733,MAX_HOLDING,60
MC_RISK_ON_SMT_TOP,PLX,2023-01-05,2023-04-06,32.226105,34.94252,700,22558.2735,24410.844472000004,1852.570972000005,0.08212379249679747,MAX_HOLDING,60
MC_RISK_ON_SMT_TOP,VCB,2023-01-11,2023-04-12,49.10453999999999,49.625175,100,4910.454,4952.592465,42.138465,0.008581378626090378,MAX_HOLDING,60
MC_RISK_ON_SMT_TOP,ACB,2023-01-12,2023-04-13,14.197095,14.622685000000002,300,4259.1285,4378.031889000001,118.90338900000097,0.027917304913434984,MAX_HOLDING,60
MC_RISK_ON_SMT_TOP,SSI,2023-04-06,2023-04-26,15.117555,14.07296,4100,61981.9755,57583.737728,-4398.237772,-0.07095994821913994,STOP_LOSS,14
MC_RISK_ON_SMT_TOP,POW,2023-02-21,2023-05-19,10.50525,11.07446,600,6303.150000000001,6631.386648000001,328.23664800000006,0.05207501772923063,MAX_HOLDING,60
MC_RISK_ON_SMT_TOP,GVR,2023-04-05,2023-06-27,15.267629999999999,18.89055,400,6107.052,7541.10756,1434.0555600000007,0.2348196085443518,TAKE_PROFIT,56
MC_RISK_ON_SMT_TOP,SHB,2023-04-05,2023-07-03,7.013504999999999,7.706145,900,6312.1545,6921.659439,609.5049390000004,0.09656052287693535,MAX_HOLDING,60
MC_RISK_ON_SMT_TOP,VCB,2023-05-09,2023-08-01,52.32614999999999,60.799585,100,5232.614999999999,6067.798583,835.1835830000009,0.15961112808796388,MAX_HOLDING,60
MC_RISK_ON_SMT_TOP,TPB,2023-05-16,2023-08-08,12.366179999999998,13.953020000000002,5000,61830.899999999994,69625.56980000001,7794.669800000018,0.12606431088662817,MAX_HOLDING,60
MC_RISK_ON_SMT_TOP,VHM,2023-05-19,2023-08-11,55.52775,62.26885,100,5552.775,6214.43123,661.6562300000005,0.11915775985880943,MAX_HOLDING,60
MC_RISK_ON_SMT_TOP,MSN,2023-08-08,2023-08-15,89.34464999999999,82.45875000000001,300,26803.394999999997,24688.149750000004,-2115.2452499999927,-0.07891706442411467,STOP_LOSS,5
MC_RISK_ON_SMT_TOP,SHB,2023-08-08,2023-08-18,9.82491,9.31534,3500,34387.185,32538.482620000002,-1848.7023799999952,-0.05376137593117888,STOP_LOSS,8
MC_RISK_ON_SMT_TOP,MWG,2023-08-15,2023-08-18,53.4267,52.683645000000006,600,32056.019999999997,31546.966626,-509.05337399999553,-0.01588011780626527,STOP_LOSS,3
MC_RISK_ON_SMT_TOP,GVR,2023-07-04,2023-08-22,19.299644999999998,18.320835,400,7719.857999999999,7313.677332,-406.18066799999906,-0.052615043955471605,STOP_LOSS,35
MC_RISK_ON_SMT_TOP,VRE,2023-08-09,2023-08-22,30.865425,29.28535,200,6173.085,5845.355860000001,-327.72913999999946,-0.053090009290330434,STOP_LOSS,9
MC_RISK_ON_SMT_TOP,MBB,2023-06-29,2023-09-25,11.495745,11.93403,300,3448.7235,3573.048582,124.32508199999984,0.03604959400195459,MAX_HOLDING,60
MC_RISK_ON_SMT_TOP,HPG,2023-06-29,2023-09-25,20.200095,20.44977,200,4040.0190000000002,4081.774092,41.75509199999988,0.010335370204942074,MAX_HOLDING,60
MC_RISK_ON_SMT_TOP,SSI,2023-09-06,2023-09-25,23.141564999999996,22.318835,2800,64796.38199999999,62367.752523999996,-2428.6294759999946,-0.037480942624234716,STOP_LOSS,13
MC_RISK_ON_SMT_TOP,VNM,2023-08-25,2023-10-25,65.32264500000001,60.899535,200,13064.529000000002,12155.547186,-908.9818140000025,-0.06957631721740618,STOP_LOSS,41
MC_RISK_ON_SMT_TOP,FPT,2023-08-01,2023-10-26,61.950959999999995,64.597685,100,6195.096,6446.848963,251.75296300000082,0.04063745953250778,MAX_HOLDING,60
MC_RISK_ON_SMT_TOP,GVR,2023-12-05,2024-02-16,20.180085000000002,24.307840000000002,2200,44396.187000000005,53370.29350400001,8974.106504000003,0.20213687504289507,TAKE_PROFIT,47
MC_RISK_ON_SMT_TOP,SSI,2023-12-05,2024-03-06,23.35167,25.917035000000002,1900,44368.172999999995,49143.881767000006,4775.708767000011,0.1076381659213241,MAX_HOLDING,60
MC_RISK_ON_SMT_TOP,CTG,2024-02-16,2024-03-18,24.222105,23.818085,400,9688.842,9508.179532,-180.66246800000044,-0.018646445880735843,STOP_LOSS,21
MC_RISK_ON_SMT_TOP,GVR,2024-02-23,2024-03-18,27.463724999999997,33.7831,100,2746.3724999999995,3371.55338,625.1808800000003,0.22763877806087865,TAKE_PROFIT,16
MC_RISK_ON_SMT_TOP,HDB,2024-02-16,2024-03-19,14.577285,13.753120000000001,700,10204.0995,9607.929632000001,-596.169867999999,-0.05842454476262202,STOP_LOSS,22
MC_RISK_ON_SMT_TOP,TCB,2024-02-16,2024-03-28,18.199095,22.998495000000002,500,9099.5475,11476.249005000001,2376.701505000001,0.2611889772540888,TAKE_PROFIT,29
MC_RISK_ON_SMT_TOP,GVR,2024-03-20,2024-04-15,31.915949999999995,31.244370000000004,800,25532.759999999995,24945.505008000004,-587.254991999991,-0.023000059218039538,STOP_LOSS,18
MC_RISK_ON_SMT_TOP,TCB,2024-03-28,2024-04-15,23.021505,22.288850000000004,600,13812.903,13346.563380000001,-466.33961999999883,-0.033761159402914714,STOP_LOSS,12
MC_RISK_ON_SMT_TOP,FPT,2024-03-14,2024-04-19,86.773365,80.829565,500,43386.6825,40333.952935,-3052.7295650000015,-0.0703609815062491,STOP_LOSS,25
MC_RISK_ON_SMT_TOP,MBB,2024-02-16,2024-04-23,15.397695,14.422785000000001,600,9238.617,8636.363658,-602.253342,-0.06518869025526222,STOP_LOSS,46
MC_RISK_ON_SMT_TOP,VIB,2024-02-16,2024-05-16,14.8074,15.172410000000001,700,10365.18,10599.445626,234.26562600000034,0.022601211556384,MAX_HOLDING,60
MC_RISK_ON_SMT_TOP,ACB,2024-02-20,2024-05-20,19.30965,19.990000000000002,100,1930.9650000000001,1995.0020000000002,64.03700000000003,0.033163211140543734,MAX_HOLDING,60
MC_RISK_ON_SMT_TOP,MSN,2024-05-20,2024-07-18,76.53824999999999,71.7641,300,22961.475,21486.17154,-1475.3034599999992,-0.06425124953862935,STOP_LOSS,43
MC_RISK_ON_SMT_TOP,GVR,2024-05-20,2024-07-23,32.886435,32.22388,700,23020.5045,22511.602568000002,-508.90193199999703,-0.022106463044717247,STOP_LOSS,46
MC_RISK_ON_SMT_TOP,HPG,2024-05-20,2024-08-05,23.981984999999998,22.318835,1000,23981.984999999997,22274.19733,-1707.787669999998,-0.07121127254478718,STOP_LOSS,55
MC_RISK_ON_SMT_TOP,MWG,2024-05-20,2024-08-12,58.719345,64.937515,400,23487.737999999998,25923.055988,2435.3179880000025,0.10368465400967955,MAX_HOLDING,60
MC_RISK_ON_SMT_TOP,BCM,2024-05-21,2024-08-13,61.900935,68.41577500000001,100,6190.0935,6827.8943450000015,637.8008450000016,0.1030357368592254,MAX_HOLDING,60
MC_RISK_ON_SMT_TOP,BVH,2024-08-26,2024-09-13,44.412195,40.85956,300,13323.6585,12233.352264000001,-1090.3062359999985,-0.08183234627336017,STOP_LOSS,12
MC_RISK_ON_SMT_TOP,VIC,2024-08-28,2024-10-03,22.761374999999997,21.039475000000003,200,4552.275,4199.47921,-352.7957899999992,-0.07749878687030094,STOP_LOSS,24
MC_RISK_ON_SMT_TOP,GVR,2024-09-20,2024-10-22,35.47773,34.462759999999996,200,7095.546,6878.766895999999,-216.7791040000011,-0.030551433814959564,STOP_LOSS,22
MC_RISK_ON_SMT_TOP,SSI,2024-08-30,2024-11-15,23.481734999999997,21.92903,200,4696.347,4377.034388000001,-319.3126119999988,-0.06799169908015716,STOP_LOSS,53
MC_RISK_ON_SMT_TOP,VHM,2024-08-26,2024-11-20,39.869925,42.178900000000006,400,15947.970000000001,16837.816880000002,889.846880000001,0.055796874461138374,MAX_HOLDING,60
MC_RISK_ON_SMT_TOP,VCB,2024-08-26,2024-11-20,61.19057999999999,59.73012,200,12238.115999999998,11922.131952,-315.98404799999844,-0.025819664399324087,MAX_HOLDING,60
MC_RISK_ON_SMT_TOP,CTG,2024-08-26,2024-11-20,24.012,22.648670000000003,700,16808.4,15822.360862000001,-986.0391380000001,-0.05866347409628519,MAX_HOLDING,60
MC_RISK_ON_SMT_TOP,HPG,2024-10-10,2024-11-20,23.011499999999998,21.159415000000003,1500,34517.25,31675.644255000007,-2841.6057449999935,-0.08232422180214222,STOP_LOSS,29
MC_RISK_ON_SMT_TOP,VPB,2024-09-23,2024-12-16,18.509249999999998,18.63068,200,3701.8499999999995,3718.6837280000004,16.833728000000974,0.004547382524954003,MAX_HOLDING,60
MC_RISK_ON_SMT_TOP,VIB,2024-09-23,2024-12-16,14.8074,15.402295,200,2961.48,3074.2980820000002,112.81808200000023,0.03809516930723835,MAX_HOLDING,60
MC_RISK_ON_SMT_TOP,SSI,2024-12-26,2025-01-10,23.551769999999998,21.579205,1300,30617.300999999996,27996.860567000003,-2620.4404329999925,-0.08558691809575222,STOP_LOSS,10
MC_RISK_ON_SMT_TOP,BVH,2025-02-19,2025-03-17,56.738355,52.663655,200,11347.671,10511.665538,-836.005462000001,-0.07367198626044066,STOP_LOSS,18
MC_RISK_ON_SMT_TOP,SHB,2025-02-25,2025-03-27,8.48424,10.284855,700,5938.968,7184.999703,1246.0317030000006,0.20980609813018028,TAKE_PROFIT,22
MC_RISK_ON_SMT_TOP,CTG,2024-12-26,2025-03-28,26.343164999999996,28.445770000000003,1100,28977.481499999994,31227.766306000005,2250.2848060000106,0.07765632793174283,MAX_HOLDING,60
MC_RISK_ON_SMT_TOP,STB,2024-12-26,2025-03-28,36.468225000000004,38.230875000000005,800,29174.58,30523.530600000006,1348.9506000000038,0.04623719004695196,MAX_HOLDING,60
MC_RISK_ON_SMT_TOP,VIB,2025-02-03,2025-04-03,16.36818,15.43228,100,1636.818,1540.141544,-96.67645599999992,-0.05906365643584071,STOP_LOSS,43
MC_RISK_ON_SMT_TOP,POW,2025-03-26,2025-04-03,10.875434999999998,10.164915,500,5437.717499999999,5072.292585,-365.4249149999987,-0.06720189399320556,STOP_LOSS,6
MC_RISK_ON_SMT_TOP,GVR,2025-02-19,2025-04-04,30.77538,27.246370000000002,400,12310.152,10876.750904,-1433.4010959999996,-0.11644056840240474,STOP_LOSS,32
MC_RISK_ON_SMT_TOP,VHM,2025-03-18,2025-04-15,47.623799999999996,57.871050000000004,100,4762.379999999999,5775.530790000001,1013.1507900000015,0.21274043440464677,TAKE_PROFIT,19
MC_RISK_ON_SMT_TOP,SSB,2025-02-03,2025-04-29,18.30915,18.69065,100,1830.915,1865.32687,34.411870000000135,0.01879490309490071,MAX_HOLDING,60
MC_RISK_ON_SMT_TOP,BVH,2025-05-28,2025-08-18,51.04551,61.28934,1800,91881.918,110100.17037600001,18218.252376000004,0.1982789734101981,TAKE_PROFIT,58
MC_RISK_ON_SMT_TOP,TCB,2025-06-04,2025-08-20,30.895439999999997,39.390295,100,3089.544,3931.151441,841.6074410000001,0.2724050672202759,TAKE_PROFIT,55
MC_RISK_ON_SMT_TOP,VJC,2025-08-19,2025-08-20,151.97594999999998,145.92700000000002,100,15197.594999999998,14563.514600000002,-634.0803999999953,-0.04172241726404707,STOP_LOSS,1
MC_RISK_ON_SMT_TOP,BVH,2025-08-19,2025-08-22,61.740854999999996,57.371300000000005,300,18522.2565,17176.967220000002,-1345.2892799999972,-0.07263096048799439,STOP_LOSS,3
MC_RISK_ON_SMT_TOP,STB,2025-08-22,2025-08-25,57.42869999999999,56.17190000000001,200,11485.739999999998,11211.911240000001,-273.8287599999967,-0.02384075906297694,STOP_LOSS,1
MC_RISK_ON_SMT_TOP,VPB,2025-08-22,2025-08-25,38.019,35.932025,300,11405.699999999999,10758.048285,-647.6517149999981,-0.05678316236618517,STOP_LOSS,1
