symbol,selected_hypothesis,train_trades,train_win_rate,train_avg_trade_pct,train_median_trade_pct,train_profit_factor,train_worst_trade_pct,validation_trades,validation_win_rate,validation_avg_trade_pct,validation_median_trade_pct,validation_profit_factor,validation_worst_trade_pct,router_score,fold,train_start,train_end,validation_start,test_start,test_end
BVH,composite_edge_score_v2,3,0.6666666666666666,3.390586820814368,6.684285835270303,2.8840876437877783,-5.39877244881971,2,0.5,1.7437373135863994,1.7437373135863994,1.6459754805808193,-5.39877244881971,0.3267584183321881,9,2024-05-08,2025-05-07,2025-02-08,2025-05-08,2025-08-07
CTG,rotation_weekly_smt_money_cycle_v1,6,0.8333333333333334,2.844159590163976,3.13215112747523,22.22469156887981,-0.8040143945368297,3,0.6666666666666666,1.8200959534712104,2.1112089758819113,7.791281222718842,-0.8040143945368297,0.5173220463606417,9,2024-05-08,2025-05-07,2025-02-08,2025-05-08,2025-08-07
POW,rotation_monthly_smt_money_cycle_v1,3,0.6666666666666666,2.7589850228756707,2.5210374325032503,2.714682685814148,-4.827105992906807,1,1.0,2.5210374325032503,2.5210374325032503,inf,2.5210374325032503,0.3340513009409574,9,2024-05-08,2025-05-07,2025-02-08,2025-05-08,2025-08-07
SHB,accumulation_breakout_smt_v2,3,0.6666666666666666,3.805702044861856,4.236875001652637,4.7401519513876496,-3.0525781527003626,2,1.0,7.2348421436429655,7.2348421436429655,inf,4.236875001652637,0.5325055071927001,9,2024-05-08,2025-05-07,2025-02-08,2025-05-08,2025-08-07
TCB,rotation_weekly_smt_money_cycle_v1,7,0.5714285714285714,0.8489707664380637,0.5070236176630699,1.7123129496595633,-3.7319860186041374,3,0.6666666666666666,1.5814056603253734,1.8587472594423324,3.2099391440411664,-2.1467636309209364,0.2907137247255074,9,2024-05-08,2025-05-07,2025-02-08,2025-05-08,2025-08-07
VHM,accumulation_breakout_smt_v2,3,1.0,8.413521795327323,7.475040002934313,inf,6.700480185439203,2,1.0,7.087760094186758,7.087760094186758,inf,6.700480185439203,0.6364616689036557,9,2024-05-08,2025-05-07,2025-02-08,2025-05-08,2025-08-07
BCM,rotation_weekly_smt_money_cycle_v1,9,0.3333333333333333,0.4619726966222897,-0.2997501249375109,1.5859087215609782,-3.104915420367165,1,1.0,4.490606603348706,4.490606603348706,inf,4.490606603348706,0.3185576800704641,10,2024-08-08,2025-08-07,2025-05-08,2025-08-08,2025-11-07
CTG,rotation_weekly_smt_money_cycle_v1,9,0.5555555555555556,0.5865735306319906,0.05007531322059329,1.912089102736541,-3.408005744562582,1,1.0,0.05007531322059329,0.05007531322059329,inf,0.05007531322059329,0.295456765775486,10,2024-08-08,2025-08-07,2025-05-08,2025-08-08,2025-11-07
FPT,rotation_weekly_smt_money_cycle_v1,9,0.6666666666666666,0.7618951640813658,0.2270675758554235,5.134642808965225,-0.7571974180885136,2,1.0,1.1605582006387418,1.1605582006387418,inf,0.6044569781800451,0.4986240731929706,10,2024-08-08,2025-08-07,2025-05-08,2025-08-08,2025-11-07
GVR,rotation_monthly_smt_money_cycle_v1,3,1.0,2.5496178353016887,3.428287014666097,inf,0.29019218201551467,2,1.0,3.6793306619447756,3.6793306619447756,inf,3.428287014666097,0.5368127245987969,10,2024-08-08,2025-08-07,2025-05-08,2025-08-08,2025-11-07
