run_type,hypothesis,trades,symbols,win_rate,avg_trade_pct,median_trade_pct,avg_win_pct,avg_loss_pct,profit_factor,best_trade_pct,worst_trade_pct,avg_hold_bars,total_return,sharpe,max_drawdown,final_equity,benchmark_ew_return,benchmark_bh_return,benchmark_ew_maxdd,benchmark_bh_maxdd,selection_rows,selected_symbols
router,symbol_router_t12_o3_min2,143,29,0.4055944055944055,1.1329898286966362,-1.1409015485889549,8.577280729381792,-3.9466439623591167,1.4829644601362628,31.218393383953213,-12.62632647312706,18.783216783216783,0.574327422450007,1.0053257549318144,-0.1853573556003723,157432.7422450007,0.7969044671242074,0.9094508457818784,-0.1815785792925173,-0.1861897209970386,302.0,30.0
single,leader_pullback_market_healthy_v2,93,29,0.4086021505376344,2.468292961835372,-2.920442407367702,15.271850778699571,-6.377801529816257,1.6544040275763487,26.179082471751133,-14.287655112889295,31.655913978494624,0.5458674505300045,0.9261946985079704,-0.1680726202949913,154586.74505300046,0.7969044671242074,0.9094508457818784,-0.1815785792925173,-0.1861897209970386,,
single,rotation_monthly_smt_money_cycle_v1,114,30,0.5263157894736842,2.1851865160367945,0.3151336917526257,7.990342089785154,-4.264986343683605,2.081638055110659,31.793642852863236,-11.75758330097385,16.640350877192983,0.5195416671950064,1.1386989411046948,-0.1663602191393505,151954.16671950064,0.7969044671242074,0.9094508457818784,-0.1815785792925173,-0.1861897209970386,,
single,leader_pullback_market_regime_v3,87,29,0.3793103448275862,2.3644256566769437,-3.950455509738681,16.848688483692023,-6.487068293165607,1.587222497854958,26.179082471751133,-14.287655112889295,32.71264367816092,0.5105019268600048,0.8819461295043947,-0.1601483343944124,151050.1926860005,0.7969044671242074,0.9094508457818784,-0.1815785792925173,-0.1861897209970386,,
single,leader_pullback_market_healthy,86,29,0.4186046511627907,2.937068185676911,-2.875035999284903,15.39045708820398,-6.0293718241425776,1.8378579770343964,26.179082471751133,-12.046909475775694,32.44186046511628,0.4944237527500037,0.8515936731630246,-0.2100354658172102,149442.37527500038,0.7969044671242074,0.9094508457818784,-0.1815785792925173,-0.1861897209970386,,
baseline,regime_switching,155,30,0.4,2.024903398584242,-2.727762298455028,12.973221236719825,-5.273975160172812,1.63990422691521,37.76761800917724,-14.508905357822456,22.767741935483876,0.4330422163300065,0.8594019890754179,-0.1756371541639431,143304.22163300065,0.7969044671242074,0.9094508457818784,-0.1815785792925173,-0.1861897209970386,,
single,mean_reversion_uptrend_ma50_v1,139,28,0.4316546762589928,1.4440100143918004,-1.5809449247339078,8.261058034484511,-3.7334948109950687,1.6805223013933472,29.002171742225,-9.683303054355164,23.46043165467626,0.3049660543050059,0.7414120149023947,-0.1651185118968826,130496.6054305006,0.7969044671242074,0.9094508457818784,-0.1815785792925173,-0.1861897209970386,,
single,smart_money_strong_market_healthy,71,28,0.380281690140845,2.983624120336867,-3.619313422710424,17.727963854120965,-6.064038898121556,1.7939402198573462,30.285585494105536,-12.49549934512865,30.507042253521128,0.3038649654050041,0.5536553608783766,-0.2724174717268981,130386.4965405004,0.7969044671242074,0.9094508457818784,-0.1815785792925173,-0.1861897209970386,,
router_v2,router_v2_t12_o3_min3_pf114_avg075,68,24,0.4411764705882353,1.1847539882047982,-0.8673893795949683,6.652476214713018,-3.1318688221964273,1.67693961801028,28.572720427116767,-6.724777494083048,14.073529411764707,0.29288680804500844,0.5181182935125357,-0.18779679614335176,129288.68080450084,0.7969044671242074,0.9094508457818784,-0.1815785792925173,-0.18618972099703868,105.0,29.0
router_v2,router_v2_t12_o3_min3_pf114_avg025,77,24,0.4025974025974026,0.5126183865361538,-1.6096068691273078,6.44768783358245,-3.487102327777655,1.2460721031081716,28.572720427116767,-9.193199644309304,13.168831168831169,0.25281714196000826,0.4701078835446006,-0.2152380948498681,125281.71419600083,0.7969044671242074,0.9094508457818784,-0.1815785792925173,-0.18618972099703868,117.0,29.0
baseline,combined,218,30,0.4036697247706422,1.4684624423993933,-1.8547764166268887,9.799588573085884,-4.171069092219152,1.5903758731419708,31.218393383953217,-13.50623787957792,21.334862385321102,0.1531925357800063,0.4161325330769178,-0.1814974791815945,115319.25357800064,0.7969044671242074,0.9094508457818784,-0.1815785792925173,-0.1861897209970386,,
single,rotation_weekly_smt_money_cycle_v1,480,30,0.50625,0.3092385449374381,0.0224672486539658,3.1687481761031595,-2.622663735118554,1.2388052671071963,19.13769570975829,-9.948161403169374,4.891666666666667,0.1154369437650182,0.3524671151561051,-0.1980884891730613,111543.69437650182,0.7969044671242074,0.9094508457818784,-0.1815785792925173,-0.1861897209970386,,
