hypothesis,symbol,signal_date,entry_date,exit_date,hold,entry_price,exit_price,pnl_pct,holding_bars,rank
leader_pullback_market_healthy,HDB,2025-10-13,2025-10-14,2025-10-28,10,25.37,24.83,-2.1284982262514887,10,2.142857142857143
leader_pullback_market_healthy,HDB,2025-10-13,2025-10-14,2025-11-11,20,25.37,22.82,-10.051241623965316,20,2.142857142857143
leader_pullback_market_healthy,HDB,2025-10-13,2025-10-14,2025-11-25,30,25.37,24.52,-3.3504138746551098,30,2.142857142857143
leader_pullback_market_healthy,HDB,2025-10-13,2025-10-14,2026-01-08,60,25.37,28.8,13.519905400078832,60,2.142857142857143
leader_pullback_market_healthy,MSN,2025-10-16,2025-10-17,2025-10-31,10,91.4,79.6,-12.910284463894978,10,3.3333333333333335
leader_pullback_market_healthy,MSN,2025-10-16,2025-10-17,2025-11-14,20,91.4,78.0,-14.660831509846831,20,3.3333333333333335
leader_pullback_market_healthy,MSN,2025-10-16,2025-10-17,2025-11-28,30,91.4,77.4,-15.317286652078774,30,3.3333333333333335
leader_pullback_market_healthy,MSN,2025-10-16,2025-10-17,2026-01-13,60,91.4,79.3,-13.23851203501095,60,3.3333333333333335
leader_pullback_market_healthy,MWG,2025-10-16,2025-10-17,2025-10-31,10,84.8,82.6,-2.5943396226415127,10,2.833333333333333
leader_pullback_market_healthy,MWG,2025-10-16,2025-10-17,2025-11-14,20,84.8,81.4,-4.009433962264141,20,2.833333333333333
leader_pullback_market_healthy,MWG,2025-10-16,2025-10-17,2025-11-28,30,84.8,79.9,-5.778301886792443,30,2.833333333333333
leader_pullback_market_healthy,MWG,2025-10-16,2025-10-17,2026-01-13,60,84.8,87.1,2.712264150943393,60,2.833333333333333
leader_pullback_market_healthy,VRE,2025-10-16,2025-10-17,2025-10-31,10,43.5,33.3,-23.44827586206897,10,1.8333333333333333
leader_pullback_market_healthy,VRE,2025-10-16,2025-10-17,2025-11-14,20,43.5,32.1,-26.20689655172413,20,1.8333333333333333
leader_pullback_market_healthy,VRE,2025-10-16,2025-10-17,2025-11-28,30,43.5,34.25,-21.264367816091955,30,1.8333333333333333
leader_pullback_market_healthy,VRE,2025-10-16,2025-10-17,2026-01-13,60,43.5,33.55,-22.87356321839081,60,1.8333333333333333
leader_pullback_market_healthy,TPB,2025-12-04,2025-12-05,2025-12-19,10,17.7,16.85,-4.802259887005638,10,3.5
leader_pullback_market_healthy,TPB,2025-12-04,2025-12-05,2026-01-06,20,17.7,17.05,-3.672316384180783,20,3.5
leader_pullback_market_healthy,TPB,2025-12-04,2025-12-05,2026-01-20,30,17.7,17.45,-1.4124293785310735,30,3.5
leader_pullback_market_healthy,TPB,2025-12-04,2025-12-05,2026-03-10,60,17.7,16.0,-9.604519774011296,60,3.5
leader_pullback_market_healthy,MWG,2025-12-04,2025-12-05,2025-12-19,10,85.7,82.9,-3.2672112018669743,10,2.5
leader_pullback_market_healthy,MWG,2025-12-04,2025-12-05,2026-01-06,20,85.7,88.8,3.6172695449241474,20,2.5
leader_pullback_market_healthy,MWG,2025-12-04,2025-12-05,2026-01-20,30,85.7,86.0,0.35005834305717287,30,2.5
leader_pullback_market_healthy,MWG,2025-12-04,2025-12-05,2026-03-10,60,85.7,81.0,-5.48424737456243,60,2.5
leader_pullback_market_healthy,ACB,2026-01-07,2026-01-08,2026-01-22,10,24.75,24.85,0.4040404040404098,10,3.0625
leader_pullback_market_healthy,ACB,2026-01-07,2026-01-08,2026-02-05,20,24.75,23.45,-5.252525252525255,20,3.0625
leader_pullback_market_healthy,ACB,2026-01-07,2026-01-08,2026-02-26,30,24.75,24.45,-1.212121212121215,30,3.0625
leader_pullback_market_healthy,ACB,2026-01-07,2026-01-08,2026-04-09,60,24.75,23.85,-3.6363636363636305,60,3.0625
leader_pullback_market_healthy,VCB,2026-01-07,2026-01-08,2026-01-22,10,59.8,71.0,18.72909698996656,10,3.0625
leader_pullback_market_healthy,VCB,2026-01-07,2026-01-08,2026-02-05,20,59.8,68.4,14.38127090301005,20,3.0625
leader_pullback_market_healthy,VCB,2026-01-07,2026-01-08,2026-02-26,30,59.8,65.4,9.364548494983293,30,3.0625
leader_pullback_market_healthy,VCB,2026-01-07,2026-01-08,2026-04-09,60,59.8,59.4,-0.6688963210702318,60,3.0625
