symbol,setup_type,signal_date,entry_date,entry_price,stop_loss,take_profit,exit_date,exit_price,exit_reason,pnl_pct,holding_bars,confluence_score,reasons
TCB,PV_BREAKOUT,2026-04-10,2026-04-13,31.5,30.0,34.0,2026-05-07,34.0,END_OF_DATA,6.98,15,40.0,pv_signal=breakout_confirmed | pv_score=40 | pv_bias=bullish | pv_tags=BULLISH_VOLUME_EXPANSION
SSI,PV_BREAKOUT,2021-01-14,2021-01-15,14.51,14.0,15.0,2021-01-19,14.0,SL,-3.51,2,65.0,"pv_signal=breakout_confirmed | pv_score=65 | pv_bias=bullish | pv_tags=HIGH_CONVICTION_BREAKOUT,BULLISH_VOLUME_EXPANSION"
SSI,PV_BREAKOUT,2021-05-20,2021-05-21,15.81,15.0,17.0,2021-07-27,21.0,REVERSAL_MA20_BREAK,35.8,47,55.0,"pv_signal=breakout_confirmed | pv_score=55 | pv_bias=bullish | pv_tags=HIGH_CONVICTION_BREAKOUT,BULLISH_VOLUME_EXPANSION"
SSI,PV_BREAKOUT,2021-08-09,2021-08-10,24.86,24.0,26.0,2021-08-11,24.0,SL,-3.46,1,40.0,pv_signal=breakout_confirmed | pv_score=40 | pv_bias=bullish | pv_tags=BULLISH_VOLUME_EXPANSION
SSI,PV_BREAKOUT,2021-11-02,2021-11-03,25.77,25.0,27.0,2021-11-03,25.0,SL,-2.99,0,35.0,"pv_signal=breakout_confirmed | pv_score=35 | pv_bias=bullish | pv_tags=HIGH_CONVICTION_BREAKOUT,BULLISH_VOLUME_EXPANSION"
SSI,PV_BREAKOUT,2021-11-18,2021-11-19,30.14,29.0,32.0,2021-11-19,29.0,SL,-3.78,0,45.0,"pv_signal=breakout_confirmed | pv_score=45 | pv_bias=bullish | pv_tags=HIGH_CONVICTION_BREAKOUT,BULLISH_VOLUME_EXPANSION"
SSI,PV_BREAKOUT,2021-11-23,2021-11-24,31.95,30.0,35.0,2021-12-03,31.0,TSL,-2.97,7,65.0,"pv_signal=breakout_confirmed | pv_score=65 | pv_bias=bullish | pv_tags=HIGH_CONVICTION_BREAKOUT,BULLISH_VOLUME_EXPANSION"
SSI,PV_BREAKOUT,2022-08-01,2022-08-02,15.35,15.0,16.0,2022-08-23,16.0,TSL,4.23,15,55.0,"pv_signal=breakout_confirmed | pv_score=55 | pv_bias=bullish | pv_tags=HIGH_CONVICTION_BREAKOUT,BULLISH_VOLUME_EXPANSION"
SSI,PV_WASHOUT,2022-09-09,2022-09-12,15.01,14.0,17.0,2022-09-19,14.0,SL,-6.73,5,45.0,"pv_signal=washout | pv_score=45 | pv_bias=bullish | pv_tags=WASHOUT_REVERSAL,BULLISH_VOLUME_EXPANSION"
SSI,PV_BREAKOUT,2022-11-28,2022-11-29,12.34,12.0,13.0,2022-12-26,12.0,SL,-2.76,19,55.0,"pv_signal=breakout_confirmed | pv_score=55 | pv_bias=bullish | pv_tags=HIGH_CONVICTION_BREAKOUT,BULLISH_VOLUME_EXPANSION"
