symbol,setup_type,signal_date,entry_date,entry_price,stop_loss,take_profit,exit_date,exit_price,exit_reason,pnl_pct,holding_bars,confluence_score,reasons
CEO,PV_PULLBACK,2025-05-08,2025-05-09,12.29,12.0,13.0,2025-05-09,12.0,SL,-2.36,0,10.0,pv_signal=constructive_pullback | pv_score=10 | pv_bias=neutral | pv_tags=CONSTRUCTIVE_PULLBACK
CEO,PV_PULLBACK,2025-05-12,2025-05-13,12.38,12.0,13.0,2025-05-21,12.0,SL,-3.07,6,10.0,pv_signal=constructive_pullback | pv_score=10 | pv_bias=neutral | pv_tags=CONSTRUCTIVE_PULLBACK
CEO,PV_PULLBACK,2025-05-23,2025-05-26,12.0,11.0,14.0,2025-05-26,12.0,TSL,0.0,0,10.0,pv_signal=constructive_pullback | pv_score=10 | pv_bias=neutral | pv_tags=CONSTRUCTIVE_PULLBACK
CEO,PV_BULL_EXPANSION,2025-05-26,2025-05-27,12.57,12.0,13.0,2025-07-01,16.0,TSL,23.47,25,15.0,pv_signal=bullish_volume_expansion | pv_score=15 | pv_bias=neutral | pv_tags=BULLISH_VOLUME_EXPANSION
CEO,PV_PULLBACK,2025-07-02,2025-07-03,16.86,16.0,18.0,2025-08-22,24.0,REVERSAL_DOUBLE_TOP,39.38,36,10.0,pv_signal=constructive_pullback | pv_score=10 | pv_bias=neutral | pv_tags=CONSTRUCTIVE_PULLBACK
CEO,PV_PULLBACK,2025-08-26,2025-08-27,25.0,24.0,26.0,2025-08-28,24.0,SL,-4.0,1,10.0,pv_signal=constructive_pullback | pv_score=10 | pv_bias=neutral | pv_tags=CONSTRUCTIVE_PULLBACK
CEO,PV_PULLBACK,2025-08-28,2025-08-29,24.6,23.0,27.0,2025-09-11,23.0,SL,-6.5,7,10.0,pv_signal=constructive_pullback | pv_score=10 | pv_bias=neutral | pv_tags=CONSTRUCTIVE_PULLBACK
CEO,PV_PULLBACK,2025-09-15,2025-09-16,24.9,24.0,26.0,2025-09-17,24.0,SL,-3.61,1,20.0,"pv_signal=constructive_pullback | pv_score=20 | pv_bias=neutral | pv_tags=VOLUME_DRY_UP_BASE,CONSTRUCTIVE_PULLBACK"
CEO,PV_PULLBACK,2025-09-19,2025-09-22,24.6,23.0,27.0,2025-09-30,26.0,REVERSAL_DOUBLE_TOP,3.66,6,20.0,"pv_signal=constructive_pullback | pv_score=20 | pv_bias=neutral | pv_tags=VOLUME_DRY_UP_BASE,CONSTRUCTIVE_PULLBACK"
CEO,PV_PULLBACK,2025-10-01,2025-10-02,25.7,24.0,28.0,2025-10-03,24.0,SL,-6.61,1,10.0,pv_signal=constructive_pullback | pv_score=10 | pv_bias=neutral | pv_tags=CONSTRUCTIVE_PULLBACK
CEO,PV_PULLBACK,2025-10-06,2025-10-07,25.4,24.0,27.0,2025-10-08,24.0,SL,-5.51,1,10.0,pv_signal=constructive_pullback | pv_score=10 | pv_bias=neutral | pv_tags=CONSTRUCTIVE_PULLBACK
CEO,PV_PULLBACK,2025-10-08,2025-10-09,24.6,23.0,27.0,2025-11-03,24.0,TSL,-2.44,17,10.0,pv_signal=constructive_pullback | pv_score=10 | pv_bias=neutral | pv_tags=CONSTRUCTIVE_PULLBACK
CEO,PV_PULLBACK,2025-11-14,2025-11-17,25.8,25.0,27.0,2025-11-19,25.0,SL,-3.1,2,20.0,"pv_signal=constructive_pullback | pv_score=20 | pv_bias=neutral | pv_tags=VOLUME_DRY_UP_BASE,CONSTRUCTIVE_PULLBACK"
CEO,PV_PULLBACK,2025-11-19,2025-11-20,25.4,24.0,27.0,2025-11-25,24.0,SL,-5.51,3,20.0,"pv_signal=constructive_pullback | pv_score=20 | pv_bias=neutral | pv_tags=VOLUME_DRY_UP_BASE,CONSTRUCTIVE_PULLBACK"
CEO,PV_PULLBACK,2025-11-26,2025-11-27,26.0,25.0,28.0,2025-11-28,25.0,SL,-3.85,1,10.0,pv_signal=constructive_pullback | pv_score=10 | pv_bias=neutral | pv_tags=CONSTRUCTIVE_PULLBACK
CEO,PV_PULLBACK,2025-11-28,2025-12-01,25.7,24.0,28.0,2025-12-05,24.0,SL,-7.39,4,10.0,pv_signal=constructive_pullback | pv_score=10 | pv_bias=neutral | pv_tags=CONSTRUCTIVE_PULLBACK
CEO,PV_PULLBACK,2025-12-08,2025-12-09,24.8,24.0,26.0,2025-12-12,24.0,SL,-3.23,3,10.0,pv_signal=constructive_pullback | pv_score=10 | pv_bias=neutral | pv_tags=CONSTRUCTIVE_PULLBACK
CEO,PV_PULLBACK,2026-02-11,2026-02-12,19.4,18.0,21.0,2026-02-24,18.0,SL,-7.22,3,10.0,pv_signal=constructive_pullback | pv_score=10 | pv_bias=neutral | pv_tags=CONSTRUCTIVE_PULLBACK
CEO,PV_PULLBACK,2026-02-24,2026-02-25,19.3,18.0,21.0,2026-02-27,18.0,SL,-6.74,2,10.0,pv_signal=constructive_pullback | pv_score=10 | pv_bias=neutral | pv_tags=CONSTRUCTIVE_PULLBACK
CEO,PV_BULL_EXPANSION,2026-03-27,2026-03-30,16.8,16.0,18.0,2026-04-06,16.0,SL,-4.76,5,15.0,pv_signal=bullish_volume_expansion | pv_score=15 | pv_bias=neutral | pv_tags=BULLISH_VOLUME_EXPANSION
CEO,PV_PULLBACK,2026-04-07,2026-04-08,16.7,16.0,18.0,2026-05-07,17.0,END_OF_DATA,2.99,18,10.0,pv_signal=constructive_pullback | pv_score=10 | pv_bias=neutral | pv_tags=CONSTRUCTIVE_PULLBACK
