symbol,setup_type,signal_date,entry_date,entry_price,stop_loss,take_profit,exit_date,exit_price,exit_reason,pnl_pct,holding_bars,reasons
MWG,MONEY_IN,2026-01-29,2026-01-30,90.0,87.0,94.0,2026-02-06,87.0,SL,-3.33,5,regime=MONEY_IN | score=3 | mkt=SIDEWAY | money_in
MWG,BREAKOUT_FLOW,2026-04-17,2026-04-20,87.5,84.0,93.0,2026-04-24,84.0,SL,-4.0,4,regime=BREAKOUT_FLOW | score=6 | mkt=SIDEWAY | breakout_flow | money_in
SAB,BREAKOUT_FLOW,2023-09-11,2023-09-12,69.85,68.0,73.0,2023-09-12,70.0,DIST_EXIT,-0.46,0,regime=BREAKOUT_FLOW | score=8 | mkt=UPTREND | breakout_flow | money_in
SAB,BREAKOUT_FLOW,2024-03-06,2024-03-07,51.63,50.0,54.0,2024-03-07,51.0,DIST_EXIT,-0.66,0,regime=BREAKOUT_FLOW | score=8 | mkt=UPTREND | breakout_flow | money_in
SAB,MONEY_IN,2024-05-08,2024-05-09,49.61,48.0,52.0,2024-05-13,48.0,SL,-3.25,2,regime=MONEY_IN | score=4 | mkt=SIDEWAY | money_in
SAB,MONEY_IN,2024-05-23,2024-05-24,50.12,48.0,53.0,2024-06-06,55.0,DIST_EXIT,10.26,9,regime=MONEY_IN | score=5 | mkt=SIDEWAY | money_in
SAB,MONEY_IN,2024-09-26,2024-09-27,50.77,50.0,52.0,2024-10-02,50.0,SL,-1.52,3,regime=MONEY_IN | score=4 | mkt=UPTREND | money_in
SAB,MONEY_IN,2024-11-26,2024-11-27,48.86,48.0,50.0,2024-12-06,50.0,DIST_EXIT,2.84,7,regime=MONEY_IN | score=4 | mkt=SIDEWAY | money_in
SAB,BREAKOUT_FLOW,2025-12-01,2025-12-02,47.0,46.0,48.0,2025-12-03,49.0,DIST_EXIT,5.11,1,regime=BREAKOUT_FLOW | score=8 | mkt=SIDEWAY | breakout_flow | money_in
SAB,MONEY_IN,2025-12-08,2025-12-09,52.27,50.0,56.0,2025-12-09,51.0,DIST_EXIT,-2.2,0,regime=MONEY_IN | score=5 | mkt=SIDEWAY | money_in
SAB,MONEY_IN,2026-01-13,2026-01-14,51.3,49.0,55.0,2026-01-15,53.0,DIST_EXIT,2.73,1,regime=MONEY_IN | score=3 | mkt=UPTREND | money_in
SAB,BREAKOUT_FLOW,2026-04-23,2026-04-24,48.1,47.0,50.0,2026-04-24,47.0,SL,-2.29,0,regime=BREAKOUT_FLOW | score=6 | mkt=UPTREND | breakout_flow | money_in
