strategy,symbol,signal_date,entry_date,exit_date,entry_price,exit_price,pnl_pct,holding_bars,state,score
SMT_SCORE_RS_QUALITY,SSI,2021-05-20,2021-05-21,2021-06-18,15.81,20.87,32.00506008855155,20,NEUTRAL,78.54123711340206
SMT_SCORE_RS_QUALITY,SHB,2021-05-26,2021-05-27,2021-06-24,13.01,11.67,-10.29976940814758,20,NEUTRAL,79.60309278350516
SMT_SCORE_RS_QUALITY,VIB,2021-06-01,2021-06-02,2021-06-30,18.85,18.42,-2.281167108753314,20,HOT_BUT_STRONG,84.89175257731958
SMT_SCORE_RS_QUALITY,ACB,2021-06-02,2021-06-03,2021-07-01,17.36,16.86,-2.8801843317972353,20,HOT_BUT_STRONG,87.1340206185567
SMT_SCORE_RS_QUALITY,HDB,2021-06-03,2021-06-04,2021-07-02,11.7,12.12,3.5897435897435894,20,NEUTRAL,80.8298969072165
SMT_SCORE_RS_QUALITY,STB,2021-06-03,2021-06-04,2021-07-02,32.2,31.5,-2.1739130434782696,20,NEUTRAL,75.42268041237114
SMT_SCORE_RS_QUALITY,GVR,2021-06-04,2021-06-07,2021-07-05,28.24,33.38,18.20113314447594,20,NEUTRAL,82.52577319587628
SMT_SCORE_RS_QUALITY,SSB,2021-06-04,2021-06-07,2021-07-05,22.47,20.84,-7.254116599910987,20,HOT_BUT_STRONG,92.74226804123711
SMT_SCORE_RS_QUALITY,VPB,2021-06-08,2021-06-09,2021-07-07,23.15,23.05,-0.43196544276456966,20,NEUTRAL,79.55670103092784
SMT_SCORE_RS_QUALITY,MBB,2021-06-22,2021-06-23,2021-07-21,14.13,12.63,-10.615711252653927,20,NEUTRAL,80.10309278350516
SMT_SCORE_RS_QUALITY,GAS,2021-06-25,2021-06-28,2021-07-26,64.91,59.22,-8.7659836696965,20,HOT_BUT_STRONG,85.89175257731958
SMT_SCORE_RS_QUALITY,SSI,2021-06-25,2021-06-28,2021-07-26,22.64,20.98,-7.332155477031802,20,NEUTRAL,80.46134020618557
