symbol,setup_type,signal_date,entry_date,entry_price,stop_loss,take_profit,exit_date,exit_price,exit_reason,pnl_pct,holding_bars,reasons
SSI,MOMENTUM_SURGE,2025-10-08,2025-10-09,37.57,36.0,40.0,2025-10-14,37.0,TIMEOUT,-0.61,3,3 phiên tăng liên tiếp (+9.4% tổng) | Volume tăng theo đà giá
SSI,SPRING,2025-10-15,2025-10-16,37.98,36.0,41.0,2025-10-20,36.0,SL,-5.21,2,HH: đỉnh 39 > 36 | HL: đáy 36 > 34 | Volume phiên tăng > giảm
SSI,HAMMER,2025-10-22,2025-10-23,35.07,33.0,38.0,2025-10-24,33.0,SL,-5.9,1,Bóng dưới 1 > 2× thân 0 | Đóng cửa gần đỉnh nến — lực mua hấp thu | Gần support 34 | RSI 44.5 — vùng oversold
SSI,RSI_BOUNCE,2025-10-28,2025-10-29,32.75,31.0,35.0,2025-11-03,31.0,SL,-5.34,3,RSI 37.3 oversold | Trên MA200 (26) — long-term trend ok | Nến đảo chiều tăng
SSI,RSI_BOUNCE,2025-11-04,2025-11-05,31.7,30.0,34.0,2025-11-07,30.0,SL,-5.36,2,RSI 39.7 oversold | Trên MA200 (27) — long-term trend ok | Nến đảo chiều tăng
SSI,RSI_BOUNCE,2025-11-10,2025-11-11,31.06,30.0,33.0,2025-11-21,31.0,TIMEOUT,0.58,8,RSI 37.8 oversold | Trên MA200 (27) — long-term trend ok | Nến đảo chiều tăng
SSI,RSI_BOUNCE,2025-12-02,2025-12-03,29.51,28.0,32.0,2025-12-12,28.0,SL,-5.12,7,RSI 37.3 oversold | Trên MA200 (27) — long-term trend ok | Nến đảo chiều tăng
SSI,RSI_BOUNCE,2025-12-15,2025-12-16,28.6,27.0,31.0,2025-12-16,29.0,TSL,0.0,0,RSI 36.3 oversold | Trên MA200 (28) — long-term trend ok | Nến đảo chiều tăng
SSI,MACD_CROSSOVER,2025-12-16,2025-12-17,30.0,28.0,33.0,2025-12-24,31.0,TIMEOUT,4.5,5,MACD crossover bullish (hist=0.09)
SSI,SPRING,2025-12-24,2025-12-25,31.35,30.0,33.0,2025-12-26,30.0,SL,-4.31,1,HH: đỉnh 30 > 30 | HL: đáy 29 > 28 | Volume phiên tăng > giảm
SSI,SPRING,2025-12-26,2025-12-29,30.8,29.0,34.0,2026-01-05,29.0,SL,-5.84,3,HH: đỉnh 32 > 30 | HL: đáy 30 > 29 | Volume phiên tăng > giảm
SSI,MOMENTUM_SURGE,2026-01-08,2026-01-09,30.95,29.0,34.0,2026-01-12,30.0,TSL,-1.62,1,3 phiên tăng liên tiếp (+4.8% tổng) | Volume tăng theo đà giá
SSI,BREAKOUT,2026-01-12,2026-01-13,33.55,32.0,36.0,2026-01-16,32.0,SL,-4.62,3,Giá 32 vượt đỉnh 20 phiên (31) | Volume 2.2× TB20 | Thân nến 6.6%
SSI,SPRING,2026-01-16,2026-01-19,32.6,31.0,35.0,2026-01-26,31.0,SL,-4.91,5,HH: đỉnh 34 > 31 | HL: đáy 32 > 29 | Volume phiên tăng > giảm
SSI,NR7,2026-01-27,2026-01-28,31.0,29.0,34.0,2026-02-02,31.0,TIMEOUT,-0.65,3,"NR7: range 1 nhỏ nhất 7 phiên — sắp bung | ATR 3.5% — SL hẹp, risk thấp"
SSI,DOUBLE_BOTTOM,2026-02-04,2026-02-05,31.7,30.0,34.0,2026-02-06,30.0,SL,-5.36,1,Hai đáy 29 và 30 (chênh 3.8%) | Vượt neckline 31 | Chưa quá xa neckline — vào hàng còn hợp lý
SSI,NR7,2026-02-10,2026-02-11,30.15,29.0,32.0,2026-02-23,32.0,TIMEOUT,4.81,3,"NR7: range 0 nhỏ nhất 7 phiên — sắp bung | ATR 3.2% — SL hẹp, risk thấp"
SSI,BB_SQUEEZE,2026-02-23,2026-02-24,31.5,30.0,34.0,2026-03-03,32.0,TSL,1.59,5,BB squeeze: width 0.090 ≈ min 20 phiên (0.090) | Giá trên BB mid — bias bullish
SSI,SPRING,2026-03-03,2026-03-04,32.55,31.0,35.0,2026-03-04,33.0,TSL,0.0,0,HH: đỉnh 33 > 33 | HL: đáy 31 > 31 | Volume phiên tăng > giảm
SSI,BREAKOUT,2026-03-04,2026-03-05,34.3,33.0,36.0,2026-03-06,33.0,SL,-3.79,1,Giá 34 vượt đỉnh 20 phiên (33) | Volume 2.8× TB20 | Thân nến 3.5%
SSI,NR7,2026-03-09,2026-03-10,30.0,28.0,33.0,2026-03-13,28.0,TIMEOUT,-5.33,3,"NR7: range 0 nhỏ nhất 7 phiên — sắp bung | ATR 4.3% — SL hẹp, risk thấp"
SSI,MACD_CROSSOVER,2026-04-01,2026-04-02,27.65,26.0,30.0,2026-04-09,29.0,TIMEOUT,3.98,5,MACD crossover bullish (hist=0.05)
SSI,BB_SQUEEZE,2026-04-09,2026-04-10,29.1,28.0,31.0,2026-04-17,29.0,TIMEOUT,-1.89,5,BB squeeze: width 0.144 ≈ min 20 phiên (0.144) | Giá trên BB mid — bias bullish
SSI,RETEST,2026-04-17,2026-04-20,28.6,27.0,31.0,2026-04-28,28.0,TIMEOUT,-3.32,5,Retest vùng breakout 29 (cách -2.9%) | Volume cạn 0.65× TB20 | Giá vẫn giữ trên vùng breakout
