symbol,setup_type,signal_date,entry_date,exit_date,entry_price,exit_price,shares,entry_value,pnl,pnl_pct,holding_bars,exit_reason,priority_score,edge_strategy_name,edge_strategy_passed,edge_score,edge_rank,edge_rank_score,edge_risk,reasons
FRT,NR7,2025-06-19,2025-06-20,2025-07-25,138.11798,157.842,62600,8646185.547999999,1206315.648052005,0.13938060093948046,25,EDGE_MAX_HOLD,2.95,nr7_refined_v1,True,69.4529,1.0,2.95,"{'setup_type': 'NR7', 'stop_loss': 0.065, 'take_profit': 0.2, 'max_holding_bars': 25, 'initial_atr_stop_mult': 1.9, 'trailing_atr_mult': 2.4, 'trailing_profit_activation': 0.08, 'use_regime_exposure': True}",Edge strategy passed: nr7_refined_v1 | edge_score=69.4529
KBC,NR7,2025-07-04,2025-07-07,2025-07-29,27.026999999999997,30.8691,501600,13556743.2,1882672.7356800027,0.13873479168184485,16,EDGE_TRAILING_ATR_STOP,2.825,nr7_refined_v1,True,65.1322,1.0,2.825,"{'setup_type': 'NR7', 'stop_loss': 0.065, 'take_profit': 0.2, 'max_holding_bars': 25, 'initial_atr_stop_mult': 1.9, 'trailing_atr_mult': 2.4, 'trailing_profit_activation': 0.08, 'use_regime_exposure': True}",Edge strategy passed: nr7_refined_v1 | edge_score=65.1322
PDR,NR7,2025-08-06,2025-08-07,2025-08-12,19.86985,22.5774,1176500,23376878.525,3108931.0742750056,0.1328588522075139,3,EDGE_TAKE_PROFIT,2.88,nr7_refined_v1,True,55.9354,1.0,2.88,"{'setup_type': 'NR7', 'stop_loss': 0.065, 'take_profit': 0.2, 'max_holding_bars': 25, 'initial_atr_stop_mult': 1.9, 'trailing_atr_mult': 2.4, 'trailing_profit_activation': 0.08, 'use_regime_exposure': True}",Edge strategy passed: nr7_refined_v1 | edge_score=55.9354
DXS,NR7,2025-08-06,2025-08-07,2025-08-22,11.711699999999999,11.988,1996000,23376553.199999996,480262.1508000046,0.020524085151765365,11,EDGE_TRAILING_ATR_STOP,2.42,nr7_refined_v1,True,70.9669,2.0,2.42,"{'setup_type': 'NR7', 'stop_loss': 0.065, 'take_profit': 0.2, 'max_holding_bars': 25, 'initial_atr_stop_mult': 1.9, 'trailing_atr_mult': 2.4, 'trailing_profit_activation': 0.08, 'use_regime_exposure': True}",Edge strategy passed: nr7_refined_v1 | edge_score=70.9669
DIG,NR7,2025-08-06,2025-08-07,2025-08-22,20.37035,21.69828,1147600,23377013.659999996,1450753.562084008,0.06199698040584462,11,EDGE_TRAILING_ATR_STOP,2.26,nr7_refined_v1,True,57.5799,3.0,2.26,"{'setup_type': 'NR7', 'stop_loss': 0.065, 'take_profit': 0.2, 'max_holding_bars': 25, 'initial_atr_stop_mult': 1.9, 'trailing_atr_mult': 2.4, 'trailing_profit_activation': 0.08, 'use_regime_exposure': True}",Edge strategy passed: nr7_refined_v1 | edge_score=57.5799
EIB,NR7,2025-08-06,2025-08-07,2025-08-25,27.627599999999997,29.02095,846100,23375712.36,1106428.4710500017,0.04728511075425039,12,EDGE_TRAILING_ATR_STOP,2.1,nr7_refined_v1,True,61.6445,4.0,2.1,"{'setup_type': 'NR7', 'stop_loss': 0.065, 'take_profit': 0.2, 'max_holding_bars': 25, 'initial_atr_stop_mult': 1.9, 'trailing_atr_mult': 2.4, 'trailing_profit_activation': 0.08, 'use_regime_exposure': True}",Edge strategy passed: nr7_refined_v1 | edge_score=61.6445
BSI,NR7,2025-08-28,2025-08-29,2025-09-08,52.95289999999999,50.949,580800,30755044.319999997,-1253802.5227199905,-0.04072665152794823,4,EDGE_STOP_LOSS,2.875,nr7_refined_v1,True,65.2281,1.0,2.875,"{'setup_type': 'NR7', 'stop_loss': 0.065, 'take_profit': 0.2, 'max_holding_bars': 25, 'initial_atr_stop_mult': 1.9, 'trailing_atr_mult': 2.4, 'trailing_profit_activation': 0.08, 'use_regime_exposure': True}",Edge strategy passed: nr7_refined_v1 | edge_score=65.2281
OCB,NR7,2025-09-03,2025-09-04,2025-09-08,14.06405,13.786200000000001,1090500,15336846.525,-348399.9737249967,-0.022693838739003325,2,EDGE_STOP_LOSS,3.15,nr7_refined_v1,True,69.1584,1.0,3.15,"{'setup_type': 'NR7', 'stop_loss': 0.065, 'take_profit': 0.2, 'max_holding_bars': 25, 'initial_atr_stop_mult': 1.9, 'trailing_atr_mult': 2.4, 'trailing_profit_activation': 0.08, 'use_regime_exposure': True}",Edge strategy passed: nr7_refined_v1 | edge_score=69.1584
VRE,NR7,2025-08-28,2025-08-29,2025-09-22,30.530499999999996,29.570400000000003,1007400,30756425.699999996,-1057539.6076199897,-0.03434999680393598,14,EDGE_STOP_LOSS,2.075,nr7_refined_v1,True,74.2821,2.0,2.075,"{'setup_type': 'NR7', 'stop_loss': 0.065, 'take_profit': 0.2, 'max_holding_bars': 25, 'initial_atr_stop_mult': 1.9, 'trailing_atr_mult': 2.4, 'trailing_profit_activation': 0.08, 'use_regime_exposure': True}",Edge strategy passed: nr7_refined_v1 | edge_score=74.2821
TCB,NR7,2025-08-28,2025-08-29,2025-09-22,39.109069999999996,37.272690000000004,786400,30755372.648,-1533507.0914799906,-0.0498116258872009,14,EDGE_STOP_LOSS,1.95,nr7_refined_v1,True,55.7055,3.0,1.95,"{'setup_type': 'NR7', 'stop_loss': 0.065, 'take_profit': 0.2, 'max_holding_bars': 25, 'initial_atr_stop_mult': 1.9, 'trailing_atr_mult': 2.4, 'trailing_profit_activation': 0.08, 'use_regime_exposure': True}",Edge strategy passed: nr7_refined_v1 | edge_score=55.7055
VHM,NR7,2025-09-15,2025-09-16,2025-09-22,104.8047,101.6982,190300,19944334.41,-649817.6193299964,-0.03254901555168606,4,EDGE_STOP_LOSS,2.3,nr7_refined_v1,True,81.7023,2.0,2.3,"{'setup_type': 'NR7', 'stop_loss': 0.065, 'take_profit': 0.2, 'max_holding_bars': 25, 'initial_atr_stop_mult': 1.9, 'trailing_atr_mult': 2.4, 'trailing_profit_activation': 0.08, 'use_regime_exposure': True}",Edge strategy passed: nr7_refined_v1 | edge_score=81.7023
NT2,NR7,2025-09-15,2025-09-16,2025-09-30,21.511489999999995,23.006970000000003,927500,19951906.974999994,1324427.8636750095,0.06631470167608347,10,EDGE_TRAILING_ATR_STOP,2.5833,nr7_refined_v1,True,67.3779,1.0,2.5833,"{'setup_type': 'NR7', 'stop_loss': 0.065, 'take_profit': 0.2, 'max_holding_bars': 25, 'initial_atr_stop_mult': 1.9, 'trailing_atr_mult': 2.4, 'trailing_profit_activation': 0.08, 'use_regime_exposure': True}",Edge strategy passed: nr7_refined_v1 | edge_score=67.3779
