date,equity,cash,positions,gross_exposure,portfolio_run
2025-01-03,103114.16032950077,431.16032950075896,4,0.9958186118364054,leader_pullback_market_healthy
2025-01-06,103247.37185750075,31880.37185750076,3,0.6912234056523862,leader_pullback_market_healthy
2025-01-07,103445.08360150075,103445.08360150075,0,0.0,leader_pullback_market_healthy
2025-01-08,103445.08360150075,103445.08360150075,0,0.0,leader_pullback_market_healthy
2025-01-09,103445.08360150075,103445.08360150075,0,0.0,leader_pullback_market_healthy
2025-01-10,103445.08360150075,103445.08360150075,0,0.0,leader_pullback_market_healthy
2025-01-13,103445.08360150075,103445.08360150075,0,0.0,leader_pullback_market_healthy
2025-01-14,103445.08360150075,103445.08360150075,0,0.0,leader_pullback_market_healthy
2025-01-15,103445.08360150075,103445.08360150075,0,0.0,leader_pullback_market_healthy
2025-01-16,103445.08360150075,103445.08360150075,0,0.0,leader_pullback_market_healthy
2025-01-17,103445.08360150075,103445.08360150075,0,0.0,leader_pullback_market_healthy
2025-01-20,103445.08360150075,103445.08360150075,0,0.0,leader_pullback_market_healthy
2025-01-21,103445.08360150075,103445.08360150075,0,0.0,leader_pullback_market_healthy
2025-01-22,103445.08360150075,103445.08360150075,0,0.0,leader_pullback_market_healthy
2025-01-23,103445.08360150075,103445.08360150075,0,0.0,leader_pullback_market_healthy
2025-01-24,103509.79651650076,39178.79651650076,5,0.6214967294399505,leader_pullback_market_healthy
2025-02-03,102271.79651650076,39178.79651650076,5,0.6169149477081928,leader_pullback_market_healthy
2025-02-04,103208.32493950077,31598.32493950077,4,0.6938393781894702,leader_pullback_market_healthy
2025-02-05,103037.32493950077,31598.32493950077,4,0.6933312762335979,leader_pullback_market_healthy
2025-02-06,103202.32493950077,31598.32493950077,4,0.6938215785543171,leader_pullback_market_healthy
2025-02-07,103924.32493950077,31598.32493950077,4,0.6959487111617454,leader_pullback_market_healthy
2025-02-10,103896.32493950077,31598.32493950077,4,0.6958667695137378,leader_pullback_market_healthy
2025-02-11,104536.32493950077,31598.32493950077,4,0.6977287564127785,leader_pullback_market_healthy
2025-02-12,104188.32493950077,31598.32493950077,4,0.6967191385613596,leader_pullback_market_healthy
2025-02-13,104627.32493950077,31598.32493950077,4,0.697991657936662,leader_pullback_market_healthy
2025-02-14,105279.32493950077,31598.32493950077,4,0.6998620103457266,leader_pullback_market_healthy
2025-02-17,105649.32493950077,31598.32493950077,4,0.7009131392217102,leader_pullback_market_healthy
2025-02-18,105450.24912800077,31988.249128000767,4,0.6966507960623987,leader_pullback_market_healthy
2025-02-19,105226.09150500078,8965.091505000777,7,0.9148016297405219,leader_pullback_market_healthy
2025-02-20,105556.09150500078,8965.091505000777,7,0.9150679853983031,leader_pullback_market_healthy
2025-02-21,105884.76413600078,669.7641360007801,7,0.9936745938713097,leader_pullback_market_healthy
2025-02-24,106412.76413600078,669.7641360007801,7,0.9937059793396139,leader_pullback_market_healthy
2025-02-25,105864.76413600078,669.7641360007801,7,0.9936733988738655,leader_pullback_market_healthy
2025-02-26,105219.76413600078,669.7641360007801,7,0.9936346166378487,leader_pullback_market_healthy
2025-02-27,105522.49684600078,8360.49684600078,6,0.9207704793206128,leader_pullback_market_healthy
2025-02-28,105327.49684600078,8360.49684600078,6,0.9206237962891622,leader_pullback_market_healthy
2025-03-03,105412.55723000078,28693.55723000078,5,0.7277975415453208,leader_pullback_market_healthy
2025-03-04,105593.44836450079,3925.448364500782,8,0.9628248870995251,leader_pullback_market_healthy
2025-03-05,105251.44836450079,3925.448364500782,8,0.9627040917203685,leader_pullback_market_healthy
2025-03-06,106136.44836450079,3925.448364500782,8,0.9630150770542109,leader_pullback_market_healthy
2025-03-07,106659.44836450079,3925.448364500782,8,0.9631964310270399,leader_pullback_market_healthy
2025-03-10,106875.99674650078,3276.996746500784,8,0.9693383280974353,leader_pullback_market_healthy
2025-03-11,106759.99674650078,3276.996746500784,8,0.969305012679216,leader_pullback_market_healthy
2025-03-12,106765.29653700079,979.2965370007823,8,0.9908275762933755,leader_pullback_market_healthy
2025-03-13,106504.29653700079,979.2965370007823,8,0.990805098302672,leader_pullback_market_healthy
2025-03-14,106604.20084200079,925.2008420007878,6,0.9913211596288589,leader_pullback_market_healthy
2025-03-17,106537.20084200079,925.2008420007878,6,0.9913157016076206,leader_pullback_market_healthy
2025-03-18,105594.20084200079,925.2008420007878,6,0.9912381472218805,leader_pullback_market_healthy
2025-03-19,106368.20084200079,925.2008420007878,6,0.9913019038145142,leader_pullback_market_healthy
2025-03-20,106133.20084200079,925.2008420007878,6,0.9912826445008652,leader_pullback_market_healthy
2025-03-21,106357.2792220008,29234.27922200079,5,0.7251313738387408,leader_pullback_market_healthy
2025-03-24,107075.2792220008,29234.27922200079,5,0.7269745226497245,leader_pullback_market_healthy
2025-03-25,107832.2792220008,29234.27922200079,5,0.7288912055562284,leader_pullback_market_healthy
2025-03-26,107262.2792220008,29234.27922200079,5,0.7274505125749324,leader_pullback_market_healthy
2025-03-27,107222.2792220008,29234.27922200079,5,0.7273488361362659,leader_pullback_market_healthy
2025-03-28,107062.29974500081,107062.29974500081,0,0.0,leader_pullback_market_healthy
2025-03-31,107062.29974500081,107062.29974500081,0,0.0,leader_pullback_market_healthy
2025-04-01,107062.29974500081,107062.29974500081,0,0.0,leader_pullback_market_healthy
2025-04-02,107062.29974500081,107062.29974500081,0,0.0,leader_pullback_market_healthy
