date,equity,cash,positions,regime,gross_exposure
2024-02-01,91736.59882800022,31751.598828000228,8,RISK_OFF,0.6538829732773037
2024-02-02,91292.59882800022,31751.598828000228,8,RISK_OFF,0.6521996390110243
2024-02-05,91981.59882800022,31751.598828000228,8,NEUTRAL,0.6548048823615938
2024-02-06,92064.59882800022,31751.598828000228,8,NEUTRAL,0.6551160898738051
2024-02-07,92842.59882800022,31751.598828000228,8,NEUTRAL,0.6580061391126816
2024-02-15,93232.59882800022,31751.598828000228,8,NEUTRAL,0.6594367289216401
2024-02-16,93450.59882800022,31751.598828000228,8,NEUTRAL,0.6602311892464127
2024-02-19,93819.59882800022,31751.598828000228,8,NEUTRAL,0.6615675272049444
2024-02-20,93619.59882800022,31751.598828000228,8,NEUTRAL,0.6608445322828729
2024-02-21,94432.59882800022,31751.598828000228,8,NEUTRAL,0.6637644285758495
2024-02-22,94277.59882800022,31751.598828000228,8,NEUTRAL,0.6632116300932978
2024-02-23,92957.73935300023,28132.73935300023,8,NEUTRAL,0.6973599019424493
2024-02-26,93224.73935300023,28132.73935300023,8,NEUTRAL,0.6982266772935221
2024-02-27,93727.73935300023,28132.73935300023,8,NEUTRAL,0.6998461763059721
2024-02-28,95624.73935300023,28132.73935300023,8,NEUTRAL,0.7058006166254971
2024-02-29,95086.73935300023,28132.73935300023,8,NEUTRAL,0.7041360389006486
2024-03-01,95229.73935300023,28132.73935300023,8,NEUTRAL,0.7045803176178292
2024-03-04,95646.73935300023,28132.73935300023,8,NEUTRAL,0.7058682863283853
2024-03-05,95757.73935300023,28132.73935300023,8,NEUTRAL,0.7062092365266475
2024-03-06,95065.73935300023,28132.73935300023,8,NEUTRAL,0.7040706826195596
2024-03-07,96024.73935300023,28132.73935300023,8,NEUTRAL,0.7070261315724026
2024-03-08,94947.73935300023,28132.73935300023,8,RISK_ON,0.7037029049379755
2024-03-11,93354.73935300023,28132.73935300023,8,RISK_ON,0.6986469080415669
2024-03-12,93934.73935300023,28132.73935300023,8,RISK_ON,0.7005076125534415
2024-03-13,95469.73935300023,28132.73935300023,8,RISK_ON,0.705322968894058
2024-03-14,94673.73935300023,28132.73935300023,8,RISK_ON,0.7028453767089036
2024-03-15,94330.73935300023,28132.73935300023,8,RISK_ON,0.7017648801869011
2024-03-18,94847.02192650022,1316.0219265002306,8,RISK_ON,0.9861247944345575
2024-03-19,94997.02192650022,1316.0219265002306,8,RISK_ON,0.9861467033406749
2024-03-20,95201.02192650022,1316.0219265002306,8,RISK_ON,0.9861763886577157
2024-03-21,96060.02192650022,1316.0219265002306,8,RISK_ON,0.9863000038922835
2024-03-22,96121.02192650022,1316.0219265002306,8,RISK_ON,0.9863086981377858
2024-03-25,95761.02192650022,1316.0219265002306,8,RISK_ON,0.9862572276274337
2024-03-26,96264.02192650022,1316.0219265002306,8,RISK_ON,0.9863290365376066
2024-03-27,96307.02192650022,1316.0219265002306,8,RISK_ON,0.9863351404687336
2024-03-28,96780.02192650022,1316.0219265002306,8,RISK_ON,0.986401925724922
2024-03-29,96620.02192650022,1316.0219265002306,8,RISK_ON,0.9863794077018392
2024-04-01,96372.02192650022,1316.0219265002306,8,RISK_ON,0.9863443570012062
