,qa_ensemble
2025-06-17,108788.8882661846
2025-06-18,108866.49292034576
2025-06-19,109201.92412872311
2025-06-20,109167.05723631037
2025-06-23,109553.00744160976
2025-06-24,109956.91505801835
2025-06-25,109933.58710127657
2025-06-26,109882.29259695418
2025-06-27,110280.38714131364
2025-06-30,110520.76502922326
2025-07-01,110681.76778493602
2025-07-02,111368.1375103267
2025-07-03,111171.2205873954
2025-07-04,111700.92891173868
2025-07-07,113020.1494242205
2025-07-08,113915.35915474273
2025-07-09,115225.07477833566
2025-07-10,116159.29570581573
2025-07-11,116877.97431570197
2025-07-14,117372.79395444455
2025-07-15,116711.40563324853
2025-07-16,117451.77271858063
2025-07-17,118131.52285208127
2025-07-18,118844.43304158951
2025-07-21,118331.1243250023
2025-07-22,119600.91721079066
2025-07-23,120035.66694463826
2025-07-24,121041.10700143795
2025-07-25,121876.53426007186
2025-07-28,123540.96969050208
2025-07-29,118692.6967366832
2025-07-30,120088.2846271552
2025-07-31,120042.44736750766
2025-08-01,119546.38004771886
2025-08-04,121990.98351673536
2025-08-05,123340.83975527911
2025-08-06,125358.52706209083
2025-08-07,126283.89042403363
2025-08-08,126047.93067129247
2025-08-11,127209.01270833249
2025-08-12,127874.94140655089
2025-08-13,128285.21629195336
2025-08-14,131188.41815037475
2025-08-15,130573.96903971734
2025-08-18,130596.00005937113
2025-08-19,132095.65488138766
2025-08-20,131945.6742626656
2025-08-21,134911.51720424398
2025-08-22,131220.09128019138
2025-08-25,128427.88698480853
2025-08-26,132519.8410908839
2025-08-27,132812.57640295167
2025-08-28,133557.94530239783
2025-08-29,133920.27144852912
2025-09-03,133794.87924802146
2025-09-04,134779.2168384892
2025-09-05,132358.16409762992
2025-09-08,129154.32364459656
2025-09-09,130092.34853667802
2025-09-10,130390.04150446849
2025-09-11,130937.8240143445
2025-09-12,131069.18326641177
2025-09-15,131991.23424509645
2025-09-16,132084.85063338495
2025-09-17,131273.56011314294
2025-09-18,130543.43226716883
2025-09-19,129439.41844570119
2025-09-22,127332.84952835519
2025-09-23,127254.84256782848
2025-09-24,128826.19121318276
2025-09-25,128811.39952347732
2025-09-26,128049.53240745541
2025-09-29,128182.956870085
2025-09-30,128213.56977588896
2025-10-01,128833.15708360901
2025-10-02,128011.51005536597
2025-10-03,127360.2107392312
2025-10-06,130780.44518338166
2025-10-07,129858.32530114468
2025-10-08,130739.7304308594
2025-10-09,132118.494965249
2025-10-10,133380.20579874114
2025-10-13,134544.82699990243
2025-10-14,134049.9037235182
2025-10-15,134118.79108633476
2025-10-16,134577.09001809312
2025-10-17,132488.34093277232
2025-10-20,125405.16286742862
2025-10-21,127274.38634797785
2025-10-22,127248.64241779836
2025-10-23,127213.72540215834
2025-10-24,126273.15784472165
2025-10-27,124084.7424666174
2025-10-28,126071.63134789478
2025-10-29,126794.82033607674
2025-10-30,125974.05976466578
2025-10-31,124382.88904329251
2025-11-03,122562.8465014456
2025-11-04,124361.16492817049
2025-11-05,124303.00531092472
2025-11-06,123214.4701272652
2025-11-07,120315.63732252584
2025-11-10,119604.6837110871
2025-11-11,120444.26428536461
2025-11-12,122623.0564744571
2025-11-13,122380.65866819183
2025-11-14,122445.51618725831
2025-11-17,123480.60312113793
2025-11-18,123632.20543964834
2025-11-19,123016.57793942493
2025-11-20,123631.65908422352
2025-11-21,123512.77561251532
2025-11-24,124150.59097291777
2025-11-25,123422.00958927376
2025-11-26,124293.6590364365
2025-11-27,124190.29607539052
2025-11-28,124328.9807650183
2025-12-01,124534.84902962744
2025-12-02,125672.09415280835
2025-12-03,126818.46220707118
2025-12-04,127230.48924311959
2025-12-05,126573.93097445575
2025-12-08,126812.23327339943
2025-12-09,125639.12684269394
2025-12-10,124723.24353533621
2025-12-11,123585.92047445013
2025-12-12,120325.54690381442
2025-12-15,120578.77379258673
2025-12-16,122395.03008207488
2025-12-17,121677.97620180676
2025-12-18,122297.50224054202
2025-12-19,123573.7766687424
2025-12-22,126242.23078356229
2025-12-23,127443.43230348083
2025-12-24,128173.22371734216
2025-12-25,126398.66601355014
2025-12-26,126787.37797581116
2025-12-29,128359.84251881707
2025-12-30,128983.85186124808
2025-12-31,129798.45840642537
2026-01-05,129747.2525307277
2026-01-06,131954.61996565355
2026-01-07,134703.69905996017
2026-01-08,134292.05817352192
2026-01-09,135582.69389491822
