hypothesis,risk,trades,symbols,win_rate,avg_trade_pct,median_trade_pct,avg_win_pct,avg_loss_pct,profit_factor,best_trade_pct,worst_trade_pct,avg_hold_bars,total_return,sharpe,max_drawdown,final_equity,benchmark_ew_return,benchmark_bh_return,benchmark_ew_maxdd,benchmark_bh_maxdd
leader_pullback_market_healthy_v2__stop_loss=0.1__take_profit=0.3__max_holding_bars=90,"{'stop_loss': 0.1, 'take_profit': 0.3, 'max_holding_bars': 90}",88,27,0.4318181818181818,3.301376298948571,-4.375466241070679,18.1187817019704,-7.959851807348018,1.7299661384129892,31.526961034473988,-14.576076984981686,49.05681818181818,0.5168911507200031,0.6596086002371692,-0.27483548796542123,151689.1150720003,0.6693876174408042,0.6374790646234538,-0.28078848317883753,-0.2671409796797619
leader_pullback_market_healthy_v2__stop_loss=0.06__take_profit=0.2__max_holding_bars=60,"{'stop_loss': 0.06, 'take_profit': 0.2, 'max_holding_bars': 60}",147,29,0.3469387755102041,1.7091330157226288,-2.5238108283169938,13.084740233201678,-4.334158318563116,1.6038334869116906,22.321314972765737,-12.046909475775683,22.94557823129252,0.4045237834000053,0.6364904278019912,-0.20735003521365825,140452.37834000052,0.6693876174408042,0.6374790646234538,-0.28078848317883753,-0.2671409796797619
leader_pullback_market_healthy_v2__stop_loss=0.08__take_profit=0.2__max_holding_bars=90,"{'stop_loss': 0.08, 'take_profit': 0.2, 'max_holding_bars': 90}",130,27,0.36153846153846153,1.4908624650314213,-4.355717437122127,14.979972794098238,-6.1475494080546085,1.379840101088731,21.108753142808446,-12.769531232057052,33.34615384615385,0.40455421374000555,0.6331611180000299,-0.22834512646701244,140455.42137400055,0.6693876174408042,0.6374790646234538,-0.28078848317883753,-0.2671409796797619
leader_pullback_market_healthy_v2__stop_loss=0.1__take_profit=0.2__max_holding_bars=90,"{'stop_loss': 0.1, 'take_profit': 0.2, 'max_holding_bars': 90}",107,27,0.42990654205607476,1.6028044331906222,-4.0318450400468135,14.296687828246327,-7.96963222537598,1.3527736976067022,20.786750361985337,-15.506078628070705,38.36448598130841,0.4149160882050047,0.6036677296107393,-0.2726408345685869,141491.60882050046,0.6693876174408042,0.6374790646234538,-0.28078848317883753,-0.2671409796797619
leader_pullback_market_healthy_v2__stop_loss=0.08__take_profit=0.2__max_holding_bars=45,"{'stop_loss': 0.08, 'take_profit': 0.2, 'max_holding_bars': 45}",147,29,0.4421768707482993,1.943548212426667,-1.7488816638192493,11.367800452490455,-5.526895636404385,1.6304019339423446,21.202708730971985,-12.880223295292407,27.333333333333332,0.37367671223000576,0.5861650988511843,-0.2070602625266148,137367.67122300057,0.6693876174408042,0.6374790646234538,-0.28078848317883753,-0.2671409796797619
leader_pullback_market_healthy_v2__stop_loss=0.1__take_profit=0.25__max_holding_bars=90,"{'stop_loss': 0.1, 'take_profit': 0.25, 'max_holding_bars': 90}",99,27,0.3838383838383838,1.2211087114002777,-4.73087234160696,15.530861087489493,-7.693163260589725,1.2576052680732976,30.285585494105533,-12.769531232057052,40.74747474747475,0.4153414355400036,0.5840639142000598,-0.27483548796542123,141534.14355400036,0.6693876174408042,0.6374790646234538,-0.28078848317883753,-0.2671409796797619
leader_pullback_market_healthy_v2__stop_loss=0.06__take_profit=0.3__max_holding_bars=45,"{'stop_loss': 0.06, 'take_profit': 0.3, 'max_holding_bars': 45}",151,29,0.32450331125827814,2.0399519239390345,-2.1601449487300117,14.176475664194177,-3.7903388924580446,1.7967437514849711,32.375121682856054,-12.03677824735753,23.033112582781456,0.3729380254650061,0.5803002374737332,-0.20441100737524764,137293.8025465006,0.6693876174408042,0.6374790646234538,-0.28078848317883753,-0.2671409796797619
leader_pullback_market_healthy_v2__stop_loss=0.06__take_profit=0.2__max_holding_bars=45,"{'stop_loss': 0.06, 'take_profit': 0.2, 'max_holding_bars': 45}",160,29,0.35,1.1456806770153203,-2.495098999630046,11.176973057039879,-4.255784450690211,1.4141623424233312,22.321314972765737,-12.03677824735753,21.59375,0.32080817536000716,0.5263171251443789,-0.20441100737524764,132080.81753600072,0.6693876174408042,0.6374790646234538,-0.28078848317883753,-0.2671409796797619
leader_pullback_market_healthy_v2__stop_loss=0.06__take_profit=0.25__max_holding_bars=90,"{'stop_loss': 0.06, 'take_profit': 0.25, 'max_holding_bars': 90}",129,29,0.24806201550387597,0.7342867741796018,-3.63617580973291,16.711877653169513,-4.536671041569647,1.2152516021204747,26.51557281324067,-12.046909475775694,24.984496124031008,0.3307868171550059,0.5223758699763941,-0.22315618873778265,133078.6817155006,0.6693876174408042,0.6374790646234538,-0.28078848317883753,-0.2671409796797619
leader_pullback_market_healthy_v2__stop_loss=0.06__take_profit=0.25__max_holding_bars=60,"{'stop_loss': 0.06, 'take_profit': 0.25, 'max_holding_bars': 60}",150,29,0.2733333333333333,1.4887498004865836,-2.9908802685943114,16.524419237487766,-4.166868978568907,1.4916733086851162,26.51557281324067,-12.046909475775683,22.073333333333334,0.27496379707500584,0.47359541363513913,-0.2081011697099544,127496.37970750059,0.6693876174408042,0.6374790646234538,-0.28078848317883753,-0.2671409796797619
leader_pullback_market_healthy_v2__stop_loss=0.06__take_profit=0.25__max_holding_bars=45,"{'stop_loss': 0.06, 'take_profit': 0.25, 'max_holding_bars': 45}",159,29,0.33962264150943394,1.830068461922798,-2.3917817470161777,13.152359037573857,-3.9928238341263187,1.694056798691923,26.179082471751133,-12.03677824735753,21.49056603773585,0.27186019706000675,0.467638754951207,-0.20441100737524764,127186.01970600068,0.6693876174408042,0.6374790646234538,-0.28078848317883753,-0.2671409796797619
leader_pullback_market_healthy_v2__stop_loss=0.1__take_profit=0.3__max_holding_bars=45,"{'stop_loss': 0.1, 'take_profit': 0.3, 'max_holding_bars': 45}",124,29,0.45161290322580644,2.075328801927468,-1.2717292896949877,12.46278685727823,-6.4790484201261,1.5841016865441935,31.77668080725546,-12.122611614546708,32.16129032258065,0.2641071754800046,0.4379507970246354,-0.26598936630620496,126410.71754800045,0.6693876174408042,0.6374790646234538,-0.28078848317883753,-0.2671409796797619
leader_pullback_market_healthy_v2__stop_loss=0.1__take_profit=0.2__max_holding_bars=45,"{'stop_loss': 0.1, 'take_profit': 0.2, 'max_holding_bars': 45}",136,29,0.4411764705882353,1.0086325331861132,-1.7348804966106408,11.109617172820997,-6.965829024420373,1.2591107776041544,20.286131428213025,-15.743693506134191,28.772058823529413,0.24987313163000513,0.43048035467824225,-0.26858962541624676,124987.31316300052,0.6693876174408042,0.6374790646234538,-0.28078848317883753,-0.2671409796797619
leader_pullback_market_healthy_v2__stop_loss=0.08__take_profit=0.25__max_holding_bars=45,"{'stop_loss': 0.08, 'take_profit': 0.25, 'max_holding_bars': 45}",144,29,0.4097222222222222,1.975687044894434,-2.186933426144064,12.544510870294136,-5.360320080971241,1.6244116465550142,29.464037789231813,-12.03677824735753,27.42361111111111,0.24475570565500626,0.4286537880920696,-0.2070602625266148,124475.57056550062,0.6693876174408042,0.6374790646234538,-0.28078848317883753,-0.2671409796797619
leader_pullback_market_healthy_v2__stop_loss=0.1__take_profit=0.25__max_holding_bars=45,"{'stop_loss': 0.1, 'take_profit': 0.25, 'max_holding_bars': 45}",131,29,0.42748091603053434,1.2160953854006822,-1.896564355776327,11.780097933158206,-6.671693183591604,1.3183769419119242,26.179082471751133,-15.743693506134191,29.801526717557252,0.14610827008000493,0.29679874156560626,-0.26598936630620496,114610.8270080005,0.6693876174408042,0.6374790646234538,-0.28078848317883753,-0.2671409796797619
