symbol,setup_type,signal_date,entry_date,exit_date,entry_price,exit_price,shares,entry_value,pnl,pnl_pct,holding_bars,exit_reason,priority_score,edge_strategy_name,edge_strategy_passed,edge_score,edge_rank,edge_rank_score,edge_risk,reasons
BVH,ADX_TREND,2025-07-11,2025-07-14,2025-07-29,52.70264999999999,51.21873,593600,31284293.039999995,-972946.0812959932,-0.0310690769309072,11,EDGE_ATR_STOP,3.1545,adx_trend_refined_v1,True,84.6097,1.0,3.1545,"{'setup_type': 'ADX_TREND', 'stop_loss': 0.08, 'take_profit': 0.28, 'max_holding_bars': 45, 'initial_atr_stop_mult': 2.4, 'trailing_atr_mult': 2.9, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}",Edge strategy passed: adx_trend_refined_v1 | edge_score=84.6097
SHB,ADX_TREND,2025-07-14,2025-07-15,2025-07-29,12.362349999999998,14.3856,1563200,19324825.519999996,3098444.434640009,0.16017474943569143,10,EDGE_TRAILING_ATR_STOP,2.8286,adx_trend_refined_v1,True,66.5986,2.0,2.8286,"{'setup_type': 'ADX_TREND', 'stop_loss': 0.08, 'take_profit': 0.28, 'max_holding_bars': 45, 'initial_atr_stop_mult': 2.4, 'trailing_atr_mult': 2.9, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}",Edge strategy passed: adx_trend_refined_v1 | edge_score=66.5986
SSB,ADX_TREND,2025-07-29,2025-07-30,2025-08-15,19.86985,21.8781,1184900,23543785.265,2304184.918355003,0.097770303687812,12,EDGE_TRAILING_ATR_STOP,2.42,adx_trend_refined_v1,True,77.2458,1.0,2.42,"{'setup_type': 'ADX_TREND', 'stop_loss': 0.08, 'take_profit': 0.28, 'max_holding_bars': 45, 'initial_atr_stop_mult': 2.4, 'trailing_atr_mult': 2.9, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}",Edge strategy passed: adx_trend_refined_v1 | edge_score=77.2458
BSR,ADX_TREND,2025-07-29,2025-07-30,2025-08-19,12.582569999999999,17.192790000000002,1871100,23543246.726999998,8538300.536535006,0.36230222894394076,14,EDGE_TAKE_PROFIT,2.24,adx_trend_refined_v1,True,100.0,3.0,2.24,"{'setup_type': 'ADX_TREND', 'stop_loss': 0.08, 'take_profit': 0.28, 'max_holding_bars': 45, 'initial_atr_stop_mult': 2.4, 'trailing_atr_mult': 2.9, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}",Edge strategy passed: adx_trend_refined_v1 | edge_score=100.0
KBC,ADX_TREND,2025-08-15,2025-08-18,2025-08-22,32.83279999999999,38.961,751800,24683699.039999995,4523915.301360011,0.1830923273748746,4,EDGE_TRAILING_ATR_STOP,2.7636,adx_trend_refined_v1,True,81.3208,1.0,2.7636,"{'setup_type': 'ADX_TREND', 'stop_loss': 0.08, 'take_profit': 0.28, 'max_holding_bars': 45, 'initial_atr_stop_mult': 2.4, 'trailing_atr_mult': 2.9, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}",Edge strategy passed: adx_trend_refined_v1 | edge_score=81.3208
NLG,ADX_TREND,2025-08-19,2025-08-20,2025-08-22,41.48143999999999,37.18278,684200,28381601.247999996,-3020405.689399991,-0.10631494237174244,2,EDGE_STOP_LOSS,3.1,adx_trend_refined_v1,True,77.3456,1.0,3.1,"{'setup_type': 'ADX_TREND', 'stop_loss': 0.08, 'take_profit': 0.28, 'max_holding_bars': 45, 'initial_atr_stop_mult': 2.4, 'trailing_atr_mult': 2.9, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}",Edge strategy passed: adx_trend_refined_v1 | edge_score=77.3456
GVR,ADX_TREND,2025-07-14,2025-07-15,2025-08-25,30.300269999999998,29.45052,637800,19325512.206,-598863.1455180012,-0.030957258687902733,29,EDGE_ATR_STOP,2.4429,adx_trend_refined_v1,True,82.2589,3.0,2.4429,"{'setup_type': 'ADX_TREND', 'stop_loss': 0.08, 'take_profit': 0.28, 'max_holding_bars': 45, 'initial_atr_stop_mult': 2.4, 'trailing_atr_mult': 2.9, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}",Edge strategy passed: adx_trend_refined_v1 | edge_score=82.2589
BCM,ADX_TREND,2025-07-22,2025-07-23,2025-08-26,67.39733,63.4365,264900,17853552.717,-1100686.0774169955,-0.06158922587318169,24,EDGE_ATR_STOP,3.4,adx_trend_refined_v1,True,73.7654,1.0,3.4,"{'setup_type': 'ADX_TREND', 'stop_loss': 0.08, 'take_profit': 0.28, 'max_holding_bars': 45, 'initial_atr_stop_mult': 2.4, 'trailing_atr_mult': 2.9, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}",Edge strategy passed: adx_trend_refined_v1 | edge_score=73.7654
POW,ADX_TREND,2025-08-26,2025-08-27,2025-09-11,13.423409999999999,12.44754,1765500,23699030.354999997,-1790549.779094994,-0.07547823650512885,9,EDGE_STOP_LOSS,2.9923,adx_trend_refined_v1,True,59.5934,1.0,2.9923,"{'setup_type': 'ADX_TREND', 'stop_loss': 0.08, 'take_profit': 0.28, 'max_holding_bars': 45, 'initial_atr_stop_mult': 2.4, 'trailing_atr_mult': 2.9, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}",Edge strategy passed: adx_trend_refined_v1 | edge_score=59.5934
MSN,ADX_TREND,2025-08-26,2025-08-27,2025-10-20,81.38129999999998,86.913,291200,23698234.559999995,1536514.6742400043,0.06477190065188802,36,EDGE_TRAILING_ATR_STOP,2.9385,adx_trend_refined_v1,True,68.9683,2.0,2.9385,"{'setup_type': 'ADX_TREND', 'stop_loss': 0.08, 'take_profit': 0.28, 'max_holding_bars': 45, 'initial_atr_stop_mult': 2.4, 'trailing_atr_mult': 2.9, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}",Edge strategy passed: adx_trend_refined_v1 | edge_score=68.9683
