portfolio_run,month,return_pct
accumulation_breakout_smt_v1,2025-08,1.1361795605175473
accumulation_breakout_smt_v1,2025-09,-5.773022405176286
accumulation_breakout_smt_v1,2025-10,1.4627174188113212
accumulation_breakout_smt_v1,2025-11,-1.158879057812312
accumulation_breakout_smt_v1,2025-12,-4.376890498617858
accumulation_breakout_smt_v1,2026-01,1.5383491662036564
accumulation_breakout_smt_v1,2026-02,6.038497035849133
accumulation_breakout_smt_v1,2026-03,1.0864476286450708
accumulation_breakout_smt_v1,2026-04,-5.128560724589148
accumulation_breakout_smt_v1,2026-05,-1.2668284390009776
accumulation_breakout_smt_v2,2025-05,10.919917572500015
accumulation_breakout_smt_v2,2025-06,4.9126991069375014
accumulation_breakout_smt_v2,2025-07,6.929818502461882
accumulation_breakout_smt_v2,2025-08,0.5244181360702704
accumulation_breakout_smt_v2,2025-09,-5.2831036673119725
accumulation_breakout_smt_v2,2025-10,0.6501488736289973
accumulation_breakout_smt_v2,2025-11,-1.166888575213998
accumulation_breakout_smt_v2,2025-12,-4.407498251630271
accumulation_breakout_smt_v2,2026-01,1.7379673065510026
accumulation_breakout_smt_v2,2026-02,5.907890580626196
accumulation_breakout_smt_v2,2026-03,0.9557378747450551
accumulation_breakout_smt_v2,2026-04,-5.123701220545119
accumulation_breakout_smt_v2,2026-05,-1.2032356514513842
leader_pullback_market_regime_v3,2025-05,-1.184244064999973
leader_pullback_market_regime_v3,2025-06,9.370167521250972
leader_pullback_market_regime_v3,2025-07,13.857683285641741
leader_pullback_market_regime_v3,2025-08,15.959467214791868
leader_pullback_market_regime_v3,2025-09,-0.2247621879501116
leader_pullback_market_regime_v3,2025-10,-0.9218909786923302
leader_pullback_market_regime_v3,2025-11,-1.1060541786870548
leader_pullback_market_regime_v3,2025-12,0.0
leader_pullback_market_regime_v3,2026-01,2.957093457395099
leader_pullback_market_regime_v3,2026-02,2.4896868040444664
leader_pullback_market_regime_v3,2026-03,-4.284417727545586
leader_pullback_market_regime_v3,2026-04,1.0974730439876401
leader_pullback_market_regime_v3,2026-05,0.7789873787094059
leader_pullback_market_healthy_v2,2025-05,0.19495733500001222
leader_pullback_market_healthy_v2,2025-06,4.58878019192881
leader_pullback_market_healthy_v2,2025-07,12.302497059886575
leader_pullback_market_healthy_v2,2025-08,12.315575262393663
leader_pullback_market_healthy_v2,2025-09,-1.8166582905592144
leader_pullback_market_healthy_v2,2025-10,-1.0923699784665453
leader_pullback_market_healthy_v2,2025-11,-1.215465241569058
leader_pullback_market_healthy_v2,2025-12,0.0
leader_pullback_market_healthy_v2,2026-01,4.588225390077727
leader_pullback_market_healthy_v2,2026-02,3.9628114734747477
leader_pullback_market_healthy_v2,2026-03,-2.3187412056522083
leader_pullback_market_healthy_v2,2026-04,-1.7729122429755773
leader_pullback_market_healthy_v2,2026-05,0.2009462137697593
leader_pullback_market_healthy,2025-05,1.5794153215000106
leader_pullback_market_healthy,2025-06,3.9366671257593078
leader_pullback_market_healthy,2025-07,8.997947518821391
leader_pullback_market_healthy,2025-08,12.121292268957173
leader_pullback_market_healthy,2025-09,-2.2706379711000757
leader_pullback_market_healthy,2025-10,-1.0048088714839642
leader_pullback_market_healthy,2025-11,-1.9490530367005987
leader_pullback_market_healthy,2025-12,0.0
leader_pullback_market_healthy,2026-01,-6.777799829385723
leader_pullback_market_healthy,2026-02,2.2661294898169926
leader_pullback_market_healthy,2026-03,0.1634448052564741
leader_pullback_market_healthy,2026-04,-2.321275074426521
leader_pullback_market_healthy,2026-05,0.09158199272472078
smart_money_strong_market_healthy,2025-05,3.573426307000016
smart_money_strong_market_healthy,2025-06,0.8207376296313296
smart_money_strong_market_healthy,2025-07,1.8829284023922144
smart_money_strong_market_healthy,2025-08,5.6303803728462665
smart_money_strong_market_healthy,2025-09,-2.4551363354552214
smart_money_strong_market_healthy,2025-10,1.6136532438361773
smart_money_strong_market_healthy,2025-11,-2.3675668586386034
smart_money_strong_market_healthy,2025-12,-2.8855564942681156
smart_money_strong_market_healthy,2026-01,2.4470322104518383
smart_money_strong_market_healthy,2026-02,-0.8187127815323381
smart_money_strong_market_healthy,2026-03,-2.5497549674321163
smart_money_strong_market_healthy,2026-04,7.13176897351957
smart_money_strong_market_healthy,2026-05,-12.709219248122539
